"species","lon","lat","countryCode","gbifID"
"Laminaria digitata",19.01095,69.71357,"NO",1236904075
"Laminaria digitata",4.90561,59.30776,"NO",1272941411
"Laminaria digitata",6.07117,62.58269,"NO",1272941468
"Laminaria digitata",10.72579,63.4357,"NO",1272941542
"Laminaria digitata",6.2618,62.57451,"NO",1272941284
"Laminaria digitata",8.71547,58.3831,"NO",1272941689
"Laminaria digitata",6.0974,62.57369,"NO",1273344195
"Laminaria digitata",14.60871,68.43466,"NO",1272941341
"Laminaria digitata",6.16668,62.68479,"NO",1272941401
"Laminaria digitata",6.16719,62.68456,"NO",1272941528
"Laminaria digitata",5.51429,58.73664,"NO",1272941477
"Laminaria digitata",6.47869,62.79908,"NO",1272941357
"Laminaria digitata",-9.65139,53.12487,"IE",1313450896
"Laminaria digitata",6.72923,62.71172,"NO",1272941714
"Laminaria digitata",-9.83376,51.62082,"IE",1313444017
"Laminaria digitata",-8.22804,55.263,"IE",1313449314
"Laminaria digitata",-9.95117,53.8033,"IE",1313446894
"Laminaria digitata",-9.8483,51.62329,"IE",1313445443
"Laminaria digitata",-9.48944,51.44637,"IE",1313447324
"Laminaria digitata",6.22598,62.49787,"NO",1272941650
"Laminaria digitata",-9.6816,53.13344,"IE",1313450893
"Laminaria digitata",-9.50353,51.4372,"IE",1313447346
"Laminaria digitata",7.0864,62.62363,"NO",1273344224
"Laminaria digitata",6.72782,62.71174,"NO",1273344257
"Laminaria digitata",5.75222,58.95186,"NO",1241166468
"Laminaria digitata",5.75774,58.95342,"NO",1241268099
"Laminaria digitata",7.9506,62.9982,"NO",1241170124
"Laminaria digitata",14.63022,67.28494,"NO",1241165825
"Laminaria digitata",4.91059,59.30236,"NO",1235828647
"Laminaria digitata",8.72733,58.39338,"NO",1235937701
"Laminaria digitata",9.58654,58.85489,"NO",1236975844
"Laminaria digitata",14.62966,67.42207,"NO",1241340141
"Laminaria digitata",6.32674,62.41716,"NO",1235944416
"Laminaria digitata",5.99903,62.42119,"NO",1236146001
"Laminaria digitata",12.5181,56.2574,"SE",1132438318
"Laminaria digitata",12.5334,56.2328,"SE",1123613060
"Laminaria digitata",18.53209,69.77728,"NO",1236175737
"Laminaria digitata",11.2682,58.4399,"SE",1135575031
"Laminaria digitata",6.02094,62.51135,"NO",1236297680
"Laminaria digitata",12.5239,56.2509,"SE",1136907171
"Laminaria digitata",12.4946,56.2835,"SE",1136913786
"Laminaria digitata",6.07717,62.58615,"NO",1236645269
"Laminaria digitata",12.6818,56.6951,"SE",1212980965
"Laminaria digitata",12.9073,56.6275,"SE",1213022410
"Laminaria digitata",10.61454,63.43749,"NO",1241165911
"Laminaria digitata",10.39272,59.07278,"NO",1241170129
"Laminaria digitata",4.89894,59.29724,"NO",1241163850
"Laminaria digitata",5.7875,58.51976,"NO",1241164866
"Laminaria digitata",5.70358,58.53571,"NO",1241165769
"Laminaria digitata",-9.8407,52.35954,"IE",1134526802
"Laminaria digitata",-9.68198,52.5093,"IE",1134526762
"Laminaria digitata",-9.69854,52.4803,"IE",1134526843
"Laminaria digitata",5.03907,61.03937,"NO",1241165610
"Laminaria digitata",-9.63138,52.57471,"IE",1134526788
"Laminaria digitata",12.21218,65.9489,"NO",1241165784
"Laminaria digitata",-6.05423,53.39001,"IE",1133931169
"Laminaria digitata",-10.14934,51.75929,"IE",1133925126
"Laminaria digitata",11.0741,58.583,"SE",932246298
"Laminaria digitata",11.0939,58.5495,"SE",932246899
"Laminaria digitata",-10.13342,51.75958,"IE",1133925330
"Laminaria digitata",5.56375,59.01503,"NO",1241164291
"Laminaria digitata",8.09374,63.33706,"NO",1229467278
"Laminaria digitata",5.5436,58.81415,"NO",1241165624
"Laminaria digitata",-6.02363,52.92984,"IE",1134526848
"Laminaria digitata",9.64403,58.89518,"NO",1241165963
"Laminaria digitata",5.04728,61.05153,"NO",1241165869
"Laminaria digitata",9.40254,63.684,"NO",1241166254
"Laminaria digitata",4.88338,59.30671,"NO",1241164993
"Laminaria digitata",4.95045,60.80342,"NO",1241164001
"Laminaria digitata",9.81315,63.66083,"NO",1241170232
"Laminaria digitata",11.6128,57.6332,"SE",875808688
"Laminaria digitata",5.18914,59.25226,"NO",1241177133
"Laminaria digitata",4.93149,60.42874,"NO",1241165804
"Laminaria digitata",11.7594,57.5543,"SE",875809670
"Laminaria digitata",11.8138,57.6221,"SE",875809046
"Laminaria digitata",11.818,57.5728,"SE",875808869
"Laminaria digitata",11.8246,57.6759,"SE",875809315
"Laminaria digitata",-6.31073,49.93024,"GB",1291527442
"Laminaria digitata",10.4601,59.16614,"NO",1241165872
"Laminaria digitata",11.7297,57.6359,"SE",875809473
"Laminaria digitata",11.61,57.6984,"SE",875103221
"Laminaria digitata",14.47538,67.32377,"NO",1241163125
"Laminaria digitata",10.58729,59.42387,"NO",1241171520
"Laminaria digitata",-0.26155,54.21516,"GB",732464063
"Laminaria digitata",10.13896,59.00993,"NO",1241174063
"Laminaria digitata",10.44478,59.06508,"NO",1241177782
"Laminaria digitata",10.88093,53.95947,"DE",922140618
"Laminaria digitata",-0.26917,54.21617,"GB",732464036
"Laminaria digitata",-0.26304,54.21608,"GB",732464047
"Laminaria digitata",5.56601,58.65315,"NO",1241165200
"Laminaria digitata",-0.52258,54.4218,"GB",732464110
"Laminaria digitata",5.46616,59.74853,"NO",1241165914
"Laminaria digitata",-0.00488,53.76301,"GB",732464582
"Laminaria digitata",14.70928,67.25933,"NO",1241165228
"Laminaria digitata",-1.04745,54.62078,"GB",732464156
"Laminaria digitata",-5.72905,54.67243,"GB",1133906393
"Laminaria digitata",-0.73355,54.52846,"GB",732464322
"Laminaria digitata",-0.74575,54.53399,"GB",732464233
"Laminaria digitata",-0.78206,54.56042,"GB",732464190
"Laminaria digitata",14.44621,67.22805,"NO",1241165215
"Laminaria digitata",7.96257,63.04266,"NO",1241165580
"Laminaria digitata",-0.67094,54.50532,"GB",732464386
"Laminaria digitata",6.30339,59.29436,"NO",1248606837
"Laminaria digitata",-6.915,57.839,"GB",1265663277
"Laminaria digitata",16.1096,69.22913,"NO",1241163122
"Laminaria digitata",-0.26001,54.21514,"GB",732464461
"Laminaria digitata",-0.41836,54.32609,"GB",732464530
"Laminaria digitata",-0.26151,54.21606,"GB",732464459
"Laminaria digitata",-0.263,54.21698,"GB",732464458
"Laminaria digitata",-0.07892,54.11799,"GB",732464728
"Laminaria digitata",8.62289,57.11499,"DK",922165729
"Laminaria digitata",-0.11042,54.13197,"GB",732464664
"Laminaria digitata",-0.73198,54.52935,"GB",732464801
"Laminaria digitata",7.91668,54.18514,"DE",922126834
"Laminaria digitata",-0.22094,54.16063,"GB",732464872
"Laminaria digitata",-0.21949,54.15881,"GB",732464889
"Laminaria digitata",-0.5253,54.43172,"GB",732464841
"Laminaria digitata",7.88269,54.18193,"DE",922138957
"Laminaria digitata",-0.10285,54.13006,"GB",732464927
"Laminaria digitata",5.54702,58.67797,"NO",1236678202
"Laminaria digitata",9.82782,58.97496,"NO",1241163496
"Laminaria digitata",-0.52685,54.43174,"GB",732463173
"Laminaria digitata",-0.52409,54.42272,"GB",732463187
"Laminaria digitata",-0.38672,54.26994,"GB",732463197
"Laminaria digitata",-0.38379,54.2663,"GB",732463271
"Laminaria digitata",-0.38776,54.28254,"GB",732463433
"Laminaria digitata",-0.40542,54.30255,"GB",732463436
"Laminaria digitata",-0.30444,54.2351,"GB",732463439
"Laminaria digitata",-0.39118,54.27359,"GB",732463440
"Laminaria digitata",-0.40546,54.30165,"GB",732463437
"Laminaria digitata",-0.407,54.30167,"GB",732463441
"Laminaria digitata",-0.39507,54.2723,"GB",732463438
"Laminaria digitata",18.56342,70.03267,"NO",1241171554
"Laminaria digitata",4.82894,60.90471,"NO",1241162874
"Laminaria digitata",18.53584,70.02439,"NO",1241168655
