"species","lon","lat","countryCode","gbifID"
"Saccharina latissima",10.24338,54.43251,"DE",922176216
"Saccharina latissima",11.28735,57.3845,"DK",1038703272
"Saccharina latissima",-22.01557,64.15704,"IS",1038699593
"Saccharina latissima",7.88269,54.18193,"DE",922138984
"Saccharina latissima",7.91668,54.18514,"DE",922126849
"Saccharina latissima",-24.35755,65.55128,"IS",922183279
"Saccharina latissima",29.51256,69.51948,"NO",239489184
"Saccharina latissima",-18.60547,64.99759,"IS",1135518917
"Saccharina latissima",18.97236,69.70308,"NO",239489238
"Saccharina latissima",-4.62355,54.06965,"IM",310811193
"Saccharina latissima",7.88759,54.15674,"DE",164181322
"Saccharina latissima",8.57838,53.55751,"DE",164181326
"Saccharina latissima",-1.42964,50.7297,"GB",310810934
"Saccharina latissima",-1.25487,50.75929,"GB",310810894
"Saccharina latissima",-1.07186,50.69232,"GB",310811049
"Saccharina latissima",-1.54336,50.69333,"GB",310810841
"Saccharina latissima",11.02,57.3,"DK",354518882
"Saccharina latissima",31.08838,70.39811,"NO",239489059
"Saccharina latissima",10.9,57.35,"DK",354518893
"Saccharina latissima",7.21217,57.97919,"NO",239540087
"Saccharina latissima",-2.37405,50.63426,"GB",310811317
"Saccharina latissima",10.58,57.5,"DK",354518883
"Saccharina latissima",7.8932,58.05218,"NO",239540104
"Saccharina latissima",12.57,54.95,"DK",354518884
"Saccharina latissima",-1.56524,55.51662,"GB",310811899
"Saccharina latissima",-5.79,43.63,"ES",211616850
"Saccharina latissima",-20.23,74.3,"GL",354518733
"Saccharina latissima",-3.84836,48.63744,"FR",922183488
"Saccharina latissima",18.89372,69.63101,"NO",239488690
"Saccharina latissima",17.98032,69.64629,"NO",239488746
"Saccharina latissima",12.05,56.55,"DK",354518629
"Saccharina latissima",12.07,56.53,"DK",354518715
"Saccharina latissima",-6.73,61.97,"FO",354518622
"Saccharina latissima",4.87,61.6,"NO",354518688
"Saccharina latissima",10.83,56.25,"DK",354518838
"Saccharina latissima",10.73,55.62,"DK",354518831
"Saccharina latissima",10.77,55.93,"DK",354518851
"Saccharina latissima",11.23,55.98,"DK",354518625
"Saccharina latissima",10.73,56.13,"DK",354518846
"Saccharina latissima",10.88,55.95,"DK",354518843
"Saccharina latissima",10.72,55.7,"DK",354518832
"Saccharina latissima",-6.78,62.05,"FO",354518724
"Saccharina latissima",-6.55,62.22,"FO",354518686
"Saccharina latissima",-6.82,61.55,"FO",354518711
"Saccharina latissima",5,61.63,"NO",354518694
"Saccharina latissima",4.67,61.57,"NO",354518700
"Saccharina latissima",11.05,55.33,"DK",354518706
"Saccharina latissima",12.43,55.1,"DK",354518707
"Saccharina latissima",4.97,61.62,"NO",354518699
"Saccharina latissima",-6.78,61.95,"FO",354518593
"Saccharina latissima",-6.65,62,"FO",354518592
"Saccharina latissima",-6.7,61.4,"FO",354518595
"Saccharina latissima",-6.53,62.2,"FO",354518723
"Saccharina latissima",-7.07,62.3,"FO",354518630
"Saccharina latissima",-7.35,62.07,"FO",354518684
"Saccharina latissima",-6.67,62.3,"FO",354518727
"Saccharina latissima",11.73,56.3,"DK",354518611
"Saccharina latissima",10.92,56.58,"DK",354518606
"Saccharina latissima",10.9,56.62,"DK",354518607
"Saccharina latissima",10.9,56.57,"DK",354518609
"Saccharina latissima",11.2,56.08,"DK",354518603
"Saccharina latissima",10.92,56.57,"DK",354518604
"Saccharina latissima",11.2,56.07,"DK",354518601
"Saccharina latissima",10.88,56.6,"DK",354518608
"Saccharina latissima",-6.75,62.12,"FO",354518563
"Saccharina latissima",-6.9,62.05,"FO",354518583
"Saccharina latissima",11.58,57,"DK",354518584
"Saccharina latissima",-6.82,62.18,"FO",354518566
"Saccharina latissima",11.9,55.93,"DK",354518720
"Saccharina latissima",-6.93,62.23,"FO",354518679
"Saccharina latissima",-6.8,62.23,"FO",354518712
"Saccharina latissima",-7.1,62.28,"FO",354518680
"Saccharina latissima",11.02,55.2,"DK",354518503
"Saccharina latissima",11.47,55.97,"DK",354518557
"Saccharina latissima",11.02,55.18,"DK",354518500
"Saccharina latissima",-6.9,62.1,"FO",354518545
"Saccharina latissima",-6.78,61.53,"FO",354518559
"Saccharina latissima",10.92,55.75,"DK",354518548
"Saccharina latissima",-6.75,61.45,"FO",354518546
"Saccharina latissima",10.9,55.75,"DK",354518556
"Saccharina latissima",-6.95,61.58,"FO",354518561
"Saccharina latissima",10.25,54.83,"DK",354518533
"Saccharina latissima",11.9,56.02,"DK",354518512
"Saccharina latissima",10.25,54.85,"DK",354518528
"Saccharina latissima",11.07,55.2,"DK",354518504
"Saccharina latissima",10.53,54.77,"DK",354518514
"Saccharina latissima",10.27,54.83,"DK",354518549
"Saccharina latissima",10.83,56.07,"DK",354518521
"Saccharina latissima",10.82,56.07,"DK",354518523
"Saccharina latissima",10.85,56.1,"DK",354518543
"Saccharina latissima",10.87,55.95,"DK",354518538
"Saccharina latissima",7.88528,54.1825,"DE",63863046
"Saccharina latissima",12.48,56.08,"DK",354518414
"Saccharina latissima",12.58,56.1,"SE",354518578
"Saccharina latissima",11.27,57.47,"DK",354518429
"Saccharina latissima",10.87,57.63,"DK",354518438
"Saccharina latissima",11.23,57.42,"DK",354518432
"Saccharina latissima",11.12,56.12,"DK",354518443
"Saccharina latissima",11.18,56.15,"DK",354518440
"Saccharina latissima",11.25,57.42,"DK",354518431
"Saccharina latissima",12.07,56.55,"DK",354518425
"Saccharina latissima",11.58,57.02,"DK",354518448
"Saccharina latissima",9.98,55.03,"DK",354518463
"Saccharina latissima",10.85,55.87,"DK",354518456
"Saccharina latissima",9.93,55.05,"DK",354518461
"Saccharina latissima",10.75,55.93,"DK",354518495
"Saccharina latissima",10.83,55.88,"DK",354518454
"Saccharina latissima",9.97,55.03,"DK",354518460
"Saccharina latissima",10.85,55.88,"DK",354518455
"Saccharina latissima",10.55,55.72,"DK",354518552
"Saccharina latissima",10.57,55.73,"DK",354518465
"Saccharina latissima",10.55,55.73,"DK",354518469
"Saccharina latissima",10.57,55.72,"DK",354518553
"Saccharina latissima",11.13,56.12,"DK",354518490
"Saccharina latissima",10.23,56.08,"DK",354518888
"Saccharina latissima",11.32,56.32,"DK",354519017
"Saccharina latissima",12.05,56.53,"DK",354519033
"Saccharina latissima",11.4,55.12,"DK",354519057
"Saccharina latissima",12.27,54.9,"DK",354519058
"Saccharina latissima",11.35,55.1,"DK",354519056
"Saccharina latissima",11.37,55.1,"DK",354519054
"Saccharina latissima",11.38,55.12,"DK",354519055
