"species","lon","lat","countryCode","gbifID"
"Laminaria setchellii",-122.38737,37.183,"US",1272099888
"Laminaria setchellii",-124.14314,41.05661,"US",1272101459
"Laminaria setchellii",-122.38951,37.18233,"US",1272096591
"Laminaria setchellii",-122.38953,37.18204,"US",1272096326
"Laminaria setchellii",-121.9449,36.51262,"US",1272100326
"Laminaria setchellii",-122.38967,37.18208,"US",1272096308
"Laminaria setchellii",-131.08887,52.1442,"CA",1305174204
"Laminaria setchellii",-123.24816,38.51221,"US",1272101212
"Laminaria setchellii",-123.07104,38.36336,"US",1291140132
"Laminaria setchellii",-123.70827,48.16731,"US",1098916589
"Laminaria setchellii",-122.71209,37.89685,"US",1272074961
"Laminaria setchellii",-122.60024,37.8739,"US",899957783
"Laminaria setchellii",-122.60052,37.8734,"US",1272117652
"Laminaria setchellii",-122.60138,37.87404,"US",899956916
"Laminaria setchellii",-122.5165,37.87741,"US",923912449
"Laminaria setchellii",-122.45616,37.80599,"US",1272117668
"Laminaria setchellii",-122.49962,37.49319,"US",1024188908
"Laminaria setchellii",-122.49977,37.49293,"US",1272118145
"Laminaria setchellii",-121.085,35.53335,"US",891751496
"Laminaria setchellii",-123.33224,38.56523,"US",891770796
"Laminaria setchellii",-128.15722,51.64139,"CA",1054800821
"Laminaria setchellii",-122.41137,37.22659,"US",1143522472
"Laminaria setchellii",-128.15667,51.64083,"CA",617174145
"Laminaria setchellii",-123.06474,38.30432,"US",891072127
"Laminaria setchellii",-131.37,52.59,"CA",1007147009
"Laminaria setchellii",-131.23,52.45,"CA",1007147031
"Laminaria setchellii",-124.45,48.53,"CA",1001427961
"Laminaria setchellii",-125.21,48.84,"CA",1001427987
"Laminaria setchellii",-125.12,48.79,"CA",1001428012
"Laminaria setchellii",-130.94,54.34,"CA",1001427936
"Laminaria setchellii",-125.16,48.86,"CA",1007147082
"Laminaria setchellii",-135.34997,57.04006,"US",617172337
"Laminaria setchellii",-151.0227,59.23982,"US",617166503
"Laminaria setchellii",-131.2218,52.0925,"CA",17574253
"Laminaria setchellii",-131.2242,52.1019,"CA",17574305
"Laminaria setchellii",-131.21,52.088,"CA",17574270
"Laminaria setchellii",-131.2173,52.1019,"CA",17574301
"Laminaria setchellii",-131.2396,52.109,"CA",17574329
"Laminaria setchellii",-131.0416,52.1666,"CA",17574218
"Laminaria setchellii",-131.2411,52.108,"CA",17574227
"Laminaria setchellii",-131.212,52.085,"CA",17574264
"Laminaria setchellii",-131.2294,52.1069,"CA",17574308
"Laminaria setchellii",-131.2115,52.093,"CA",17574277
"Laminaria setchellii",-131.2178,52.0897,"CA",17574259
"Laminaria setchellii",-131.2153,52.0963,"CA",17574199
"Laminaria setchellii",-131.09,52.156,"CA",17574211
"Laminaria setchellii",-131.2445,52.1048,"CA",17574234
"Laminaria setchellii",-131.215,52.096,"CA",17574205
"Laminaria setchellii",-131.23,52.1071,"CA",17574322
"Laminaria setchellii",-131.2136,52.0965,"CA",17574288
"Laminaria setchellii",-131.2142,52.095,"CA",17574285
"Laminaria setchellii",-131.038,52.171,"CA",17574224
"Laminaria setchellii",-131.2284,52.1059,"CA",17574315
"Laminaria setchellii",-131.2121,52.0975,"CA",17574295
"Laminaria setchellii",-131.2337,52.0957,"CA",17574241
"Laminaria setchellii",-131.2317,52.0926,"CA",17574247
"Laminaria setchellii",-132.52473,53.15772,"CA",17574450
"Laminaria setchellii",-131.60931,52.90489,"CA",17574760
"Laminaria setchellii",-131.96175,53.30679,"CA",17574436
