"species","lon","lat","countryCode","gbifID"
"Laurencia obtusa",-81.23917,24.67617,"US",1306504873
"Laurencia obtusa",-76.82,24.72,"BS",888356274
"Laurencia obtusa",-44.86639,-23.36361,"BR",1209304316
"Laurencia obtusa",-44.74778,-23.27444,"BR",1209304388
"Laurencia obtusa",-44.79222,-23.25611,"BR",1209304360
"Laurencia obtusa",-44.15111,-23.29278,"BR",1209304294
"Laurencia obtusa",-44.34972,-23.26472,"BR",1209304373
"Laurencia obtusa",-44.55889,-23.14056,"BR",1209304289
"Laurencia obtusa",-44.41139,-23.32889,"BR",1209304286
"Laurencia obtusa",-44.48833,-23.00639,"BR",1209304290
"Laurencia obtusa",-44.795,-23.43861,"BR",1209304245
"Laurencia obtusa",-44.45667,-23.20306,"BR",1209304287
"Laurencia obtusa",-64.71272,32.36361,"BM",888356360
"Laurencia obtusa",-45.07,-23.43,"BR",1087402178
"Laurencia obtusa",-38.62389,-12.79389,"BR",1209361029
"Laurencia obtusa",-97.776,23.542,"MX",235906875
"Laurencia obtusa",-64.6633,32.3767,"BM",888356198
"Laurencia obtusa",-97.154,25.828,"MX",235906592
"Laurencia obtusa",-67.05,17.97,"PR",354518581
"Laurencia obtusa",-81.85506,12.16822,"CO",1316271375
"Laurencia obtusa",-60.58,11.25,"TT",354518575
"Laurencia obtusa",-88.08,16.8,"BZ",888356307
"Laurencia obtusa",-97.715,24.623,"MX",235906401
"Laurencia obtusa",-61.4567,12.785,"VC",888966516
"Laurencia obtusa",-79.4,23.4,"BS",888356128
"Laurencia obtusa",-64.67,32.33,"BM",888356133
"Laurencia obtusa",-79.55,23.52,"BS",888356296
"Laurencia obtusa",-81.8,25.2944,"US",888356315
"Laurencia obtusa",-82.1417,26.0506,"US",888356336
"Laurencia obtusa",-64.5931,17.7458,"VI",1142178073
"Laurencia obtusa",-60.94429,13.72725,"LC",686194294
"Laurencia obtusa",-82.58,15.22,"HN",888356075
"Laurencia obtusa",-83.25,15.92,"HN",888356129
"Laurencia obtusa",-74.06263,11.31336,"CO",1062303395
"Laurencia obtusa",-97.792,22.271,"MX",235906471
"Laurencia obtusa",-79.86347,9.405,"PA",888356247
"Laurencia obtusa",-81.23845,19.30866,"KY",1055333370
"Laurencia obtusa",-64.7139,32.3653,"BM",1142176154
"Laurencia obtusa",-72.95882,11.24395,"CO",1062303388
"Laurencia obtusa",-57.3667,-20.2667,"BR",37357238
"Laurencia obtusa",-66.7506,17.9675,"PR",888356265
"Laurencia obtusa",-67.05,17.93333,"PR",1141620941
"Laurencia obtusa",-81.58,24.78,"US",888356286
"Laurencia obtusa",-81.47,25.95,"US",888356083
"Laurencia obtusa",-81.75,24.7,"US",888356092
"Laurencia obtusa",-81.5,24.78,"US",888356263
"Laurencia obtusa",-157.65,21.2833,"US",37353287
"Laurencia obtusa",-171.81667,25.81667,"US",37353723
"Laurencia obtusa",-89.75,22.5,"MX",888356309
"Laurencia obtusa",-155.883,19.3667,"US",37357632
"Laurencia obtusa",-157.667,21.2667,"US",37358364
"Laurencia obtusa",-156.733,21.1,"US",37357115
"Laurencia obtusa",-159.317,22.1833,"US",37357033
"Laurencia obtusa",-159.3,22.1333,"US",37358351
"Laurencia obtusa",-157.883,21.3167,"US",37353729
"Laurencia obtusa",-157.817,21.2667,"US",37354436
"Laurencia obtusa",-158.117,21.35,"US",37353531
"Laurencia obtusa",-159.3,22.15,"US",37357475
"Laurencia obtusa",-69.99,12.19,"VE",190585753
"Laurencia obtusa",-158.117,21.3333,"US",37354068
"Laurencia obtusa",-68.24769,10.81982,"VE",243719191
"Laurencia obtusa",-89.658,21.289,"MX",370520529
"Laurencia obtusa",-157.783,21.25,"US",37353563
"Laurencia obtusa",-64.34775,10.3891,"VE",243719196
"Laurencia obtusa",-64.39,10.38,"VE",459857271
"Laurencia obtusa",-157.9,21.6,"US",37353370
"Laurencia obtusa",-158.217,21.5167,"US",37358625
"Laurencia obtusa",-64.39507,10.38036,"VE",243719180
"Laurencia obtusa",-159.5,21.8833,"US",37353332
"Laurencia obtusa",-155.917,19.4667,"US",37355094
"Laurencia obtusa",-157.783,21.45,"US",37357135
"Laurencia obtusa",-156.433,20.65,"US",37354242
"Laurencia obtusa",-157.85,21.3,"US",37357326
"Laurencia obtusa",-157.783,21.4667,"US",37354796
"Laurencia obtusa",-155.067,19.7167,"US",37354781
