"species","lon","lat","countryCode","gbifID"
"Lessonia nigrescens",-73.99556,-41.89722,"CL","910568886"
"Lessonia nigrescens",-73.40028,-39.79556,"CL","910569380"
"Lessonia nigrescens",-71.7075,-33.1975,"CL","910569636"
"Lessonia nigrescens",-71.835,-35.90306,"CL","910569474"
"Lessonia nigrescens",-71.35861,-29.97361,"CL","910567705"
"Lessonia nigrescens",-71.52167,-32.24083,"CL","910568836"
"Lessonia nigrescens",-71.84694,-35.91694,"CL","910568667"
"Lessonia nigrescens",-71.62528,-33.56167,"CL","910569038"
"Lessonia nigrescens",-73.21833,-39.43944,"CL","910568923"
"Lessonia nigrescens",-70.48056,-23.77444,"CL","910568232"
"Lessonia nigrescens",-71.63639,-33.50139,"CL","910569385"
"Lessonia nigrescens",-75.4867,-46.5783,"CL","888307061"
"Lessonia nigrescens",-73.6833,-43.375,"CL","888307095"
"Lessonia nigrescens",-69.32611,-53.42111,"CL","910568075"
"Lessonia nigrescens",-71.61694,-33.58083,"CL","910569734"
"Lessonia nigrescens",-71.635,-33.50222,"CL","910568395"
"Lessonia nigrescens",-71.60639,-33.54694,"CL","910568175"
"Lessonia nigrescens",-70.20028,-22.08944,"CL","910569782"
"Lessonia nigrescens",-71.52611,-32.77611,"CL","910569653"
"Lessonia nigrescens",-70.13,-21.11,"CL","1007898063"
"Lessonia nigrescens",-73.73,-40.56,"CL","1007897990"
"Lessonia nigrescens",-71.34,-29.93,"CL","1007897890"
"Lessonia nigrescens",-59.462,-51.519,"FK","1055806285"
"Lessonia nigrescens",-69.1,-55.6,"CL","AH"
"Lessonia nigrescens",-75,-15.5,"PE","AH"
