"species","lon","lat","countryCode","gbifID"
"Meristotheca gelidium",-38.63583,-12.72472,"BR",1094900616
"Meristotheca gelidium",-38.88917,-13.64083,"BR",1094904690
"Meristotheca gelidium",-38.89667,-13.59861,"BR",1094848372
"Meristotheca gelidium",-38.89444,-13.59472,"BR",1094848367
"Meristotheca gelidium",-38.91278,-13.67667,"BR",1094848404
"Meristotheca gelidium",-88.07444,16.77444,"BZ",883546702
"Meristotheca gelidium",-40.68333,-21.03333,"BR",1209350897
"Meristotheca gelidium",-40.4067,-19.9325,"BR",1087402428
"Meristotheca gelidium",-38.6225,-12.98806,"BR",1094813791
"Meristotheca gelidium",-44.79222,-23.25611,"BR",1209304366
"Meristotheca gelidium",-44.26861,-23.21583,"BR",1209304088
"Meristotheca gelidium",-44.8575,-23.36194,"BR",1209304300
"Meristotheca gelidium",-40.2733,-19.8203,"BR",1087402391
"Meristotheca gelidium",-38.71833,-12.74139,"BR",1209431440
"Meristotheca gelidium",-38.73333,-12.74139,"BR",1209457505
"Meristotheca gelidium",-88.18988,16.67443,"BZ",888380166
"Meristotheca gelidium",-40.6456,-20.8058,"BR",1087400316
"Meristotheca gelidium",-40.8339,-21.0111,"BR",1087400308
"Meristotheca gelidium",-88.198,16.664,"BZ",888380206
"Meristotheca gelidium",-81.47677,12.46111,"CO",1316271330
"Meristotheca gelidium",-40.3078,-20.1286,"BR",1087398133
"Meristotheca gelidium",-39.2689,-3.27778,"BR",1087393676
"Meristotheca gelidium",-82.7278,26.2831,"US",888380038
"Meristotheca gelidium",-82.6392,26.2803,"US",888380042
"Meristotheca gelidium",-81.4083,24.5333,"US",888380185
"Meristotheca gelidium",-81.4,24.5333,"US",888380228
"Meristotheca gelidium",-60.94198,13.75152,"LC",686193987
"Meristotheca gelidium",-82.1408,26.0531,"US",888380077
"Meristotheca gelidium",-83.3969,26.2806,"US",888380073
"Meristotheca gelidium",-82.5269,25.7647,"US",888380102
"Meristotheca gelidium",-35.06667,-5.43472,"BR",1090940857
"Meristotheca gelidium",-77.41833,33.53667,"US",888380211
"Meristotheca gelidium",-35.13333,-5.51806,"BR",1090940833
"Meristotheca gelidium",-88.08,16.8,"BZ",888380110
"Meristotheca gelidium",-67.0417,17.9333,"PR",888380075
"Meristotheca gelidium",-67.04167,17.93333,"PR",1141568605
"Meristotheca gelidium",-81.58,24.78,"US",888380054
"Meristotheca gelidium",-65.1042,32.1003,"BM",888380132
"Meristotheca gelidium",-65.0272,32.1058,"BM",888380066
"Meristotheca gelidium",-61.55207,16.26148,"GP",1056114514
"Meristotheca gelidium",-112.49151,45.69558,"US",1057188995
"Meristotheca gelidium",-83.1167,27.6167,"US",37558895
"Meristotheca gelidium",-61.3443,16.3345,"GP",1055774727
