"species","lon","lat","countryCode","gbifID"
"Neodilsea borealis",-126.594,50.79517,"CA",617172283
"Neodilsea borealis",-153.44083,59.635,"US",919119647
"Neodilsea borealis",-162.61389,55.28556,"US",617174378
"Neodilsea borealis",-124.87,49.69,"CA",1000248615
"Neodilsea borealis",-124.93,49.67,"CA",1000248620
"Neodilsea borealis",-123.81,48.36,"CA",1000248572
"Neodilsea borealis",-130.25,54.3,"CA",1000248561
"Neodilsea borealis",-152.7295,58.45494,"US",919117837
"Neodilsea borealis",-153.89053,57.70322,"US",617167119
"Neodilsea borealis",-153.48385,57.13957,"US",617169171
"Neodilsea borealis",-153.56356,59.62897,"US",617172958
"Neodilsea borealis",-123.11667,49.3,"CA",919116638
"Neodilsea borealis",-131.78333,55.3,"US",617165307
"Neodilsea borealis",-123.15,49.3,"CA",919116650
"Neodilsea borealis",-123.68333,49.15,"CA",919115421
"Neodilsea borealis",-126.06667,49.26667,"CA",919096669
"Neodilsea borealis",-122.96667,48.55,"US",919095795
"Neodilsea borealis",-122.98333,48.56667,"US",919094684
"Neodilsea borealis",-124.66667,49.55,"CA",919094800
"Neodilsea borealis",-124.75,49.51667,"CA",919094835
"Neodilsea borealis",-124.63333,49.50833,"CA",617121590
"Neodilsea borealis",-124.55,49.50833,"CA",617122825
"Neodilsea borealis",-123.28333,48.86667,"CA",919096185
"Neodilsea borealis",-130.32833,54.225,"CA",617116482
"Neodilsea borealis",-128.14861,52.19167,"CA",919066481
"Neodilsea borealis",-131.35,52.36667,"CA",919122059
"Neodilsea borealis",-124.43333,48.55,"CA",919066443
"Neodilsea borealis",-123.11667,49.31667,"CA",919082791
"Neodilsea borealis",-132.3062,53.677,"CA",17576913
"Neodilsea borealis",-131.3533,52.3588,"CA",17577039
"Neodilsea borealis",-133.49333,55.81111,"US",919091363
"Neodilsea borealis",-133.48111,55.79833,"US",919091800
"Neodilsea borealis",-129.15,49.03333,"CA",919066444
"Neodilsea borealis",-152.63333,57.36667,"US",919066425
"Neodilsea borealis",-134.93389,58.6075,"US",919066390
"Neodilsea borealis",-124.44667,48.525,"CA",617062454
"Neodilsea borealis",-135.36667,56.9875,"US",919066378
"Neodilsea borealis",-135.3,57.05,"US",919066431
"Neodilsea borealis",-134.92083,58.23194,"US",919066428
"Neodilsea borealis",-134.10556,57.73333,"US",919066418
"Neodilsea borealis",-133.49694,55.80139,"US",919066372
"Neodilsea borealis",-133.55667,55.84056,"US",919066343
"Neodilsea borealis",-135.91667,58.2375,"US",1270726007
"Neodilsea borealis",-133.14167,55.45833,"US",919066370
"Neodilsea borealis",-134.95,58.63333,"US",919066394
"Neodilsea borealis",-149.43333,60.07083,"US",1270729572
"Neodilsea borealis",-149.43333,60.1,"US",1270729736
"Neodilsea borealis",-149.5,59.8,"US",1270726009
"Neodilsea borealis",-134.68333,58.30556,"US",919066388
"Neodilsea borealis",-133.40833,55.47361,"US",919066430
"Neodilsea borealis",-134.725,58.37361,"US",919066404
"Neodilsea borealis",-135.15,58.85556,"US",919066435
"Neodilsea borealis",-149.44167,60.1,"US",1270725707
"Neodilsea borealis",-146.43667,61.08528,"US",1270725754
"Neodilsea borealis",-127.65278,50.60139,"CA",919066467
"Neodilsea borealis",-135.375,57.13333,"US",1270729130
"Neodilsea borealis",-151.7,59.47083,"US",919066453
"Neodilsea borealis",-134.1,57.73333,"US",919066426
"Neodilsea borealis",-146.37778,61.09,"US",1270727479
"Neodilsea borealis",-147.375,60.525,"US",1270728926
"Neodilsea borealis",-146.26667,61.11667,"US",1270729285
"Neodilsea borealis",-146.775,61.04167,"US",1270725953
"Neodilsea borealis",-127.935,50.9267,"CA",888318509
"Neodilsea borealis",-136.10833,57.6,"US",1270728095
"Neodilsea borealis",-134.85,57.475,"US",1270729980
"Neodilsea borealis",-136.035,57.54167,"US",1270727576
"Neodilsea borealis",-134.25833,58.2,"US",1270727047
"Neodilsea borealis",-136.1,57.6,"US",1270729516
"Neodilsea borealis",-125.30333,50.08833,"CA",617062494
"Neodilsea borealis",-127.665,50.85833,"CA",617062498
"Neodilsea borealis",-127.935,50.92667,"CA",617103341
"Neodilsea borealis",-127.40167,50.72417,"CA",617062499
"Neodilsea borealis",-127.665,50.85167,"CA",617103347
"Neodilsea borealis",-135.46667,58.33333,"US",1270728239
"Neodilsea borealis",-123.78333,49.13333,"CA",919061643
"Neodilsea borealis",-125.08333,49.85,"CA",919086297
"Neodilsea borealis",-127.91667,50.96667,"CA",919086334
"Neodilsea borealis",-123.06667,48.48333,"US",919066501
"Neodilsea borealis",-122.85,48.31667,"US",919066512
"Neodilsea borealis",-124.86667,49.65,"CA",919066432
