"species","lon","lat","countryCode","gbifID"
"Odonthalia floccosa",-123.80414,39.49029,"US",1272080601
"Odonthalia floccosa",-122.38833,37.18289,"US",1272096735
"Odonthalia floccosa",-123.10897,38.41869,"US",1272103684
"Odonthalia floccosa",-122.39,37.18272,"US",1272096171
"Odonthalia floccosa",-122.71028,37.89611,"US",1272105588
"Odonthalia floccosa",-123.82177,39.35371,"US",1272096053
"Odonthalia floccosa",-122.38594,37.18306,"US",1273844793
"Odonthalia floccosa",-123.05222,38.30583,"US",1291112608
"Odonthalia floccosa",-122.77487,48.14322,"US",1092891764
"Odonthalia floccosa",-162.70194,55.20556,"US",1054800536
"Odonthalia floccosa",-135.37978,56.97548,"US",617174285
"Odonthalia floccosa",-128.135,51.66472,"CA",919120507
"Odonthalia floccosa",-126.79705,50.59727,"CA",617172794
"Odonthalia floccosa",-123.79475,39.27389,"US",617172230
"Odonthalia floccosa",-124.365,40.3475,"US",919119978
"Odonthalia floccosa",-165.37628,54.08489,"US",919119309
"Odonthalia floccosa",-178.63064,51.59225,"US",919119347
"Odonthalia floccosa",-130.3295,54.22064,"CA",617167627
"Odonthalia floccosa",-130.32969,54.22053,"CA",617167704
"Odonthalia floccosa",-130.51667,54.33333,"CA",919116870
"Odonthalia floccosa",-130.49372,54.33075,"CA",617166555
"Odonthalia floccosa",-162.681,54.459,"US",617167986
"Odonthalia floccosa",-162.693,54.456,"US",617167985
"Odonthalia floccosa",-162.46,54.3639,"US",617167987
"Odonthalia floccosa",-135.4,57.09833,"US",617170239
"Odonthalia floccosa",-164.99889,54.11889,"US",617166923
"Odonthalia floccosa",-167.05278,53.44667,"US",919117297
"Odonthalia floccosa",-152.73114,58.46194,"US",919118143
"Odonthalia floccosa",-152.83333,58.4,"US",617168400
"Odonthalia floccosa",-152.82428,58.40861,"US",617168446
"Odonthalia floccosa",-153.32758,57.8252,"US",617167231
"Odonthalia floccosa",-152.325,58.43333,"US",617169564
"Odonthalia floccosa",-153.9347,57.73522,"US",617167191
"Odonthalia floccosa",-152.33355,58.43258,"US",617169568
"Odonthalia floccosa",-152.83335,58.40448,"US",617169840
