"species","lon","lat","countryCode","gbifID"
"Petalonia fascia",-8.22804,55.263,"IE",1313449326
"Petalonia fascia",0.415,51.3192,"GB",1265658637
"Petalonia fascia",0.91371,51.20854,"GB",1265658725
"Petalonia fascia",0.48487,51.61096,"GB",1265658660
"Petalonia fascia",139.566,35.293,"JP",998913783
"Petalonia fascia",0.64428,51.47911,"GB",1055459278
"Petalonia fascia",174.68889,-36.93472,"NZ",1269414417
"Petalonia fascia",-0.39507,54.2723,"GB",732463480
"Petalonia fascia",6.77519,58.06587,"NO",1248649494
"Petalonia fascia",140.85,35.7,"JP",1014792573
"Petalonia fascia",-9.7702,53.29388,"IE",368080225
"Petalonia fascia",-9.12936,53.24958,"IE",368080378
"Petalonia fascia",-8.63979,54.32047,"IE",368080036
"Petalonia fascia",-9.62803,53.24583,"IE",368080324
"Petalonia fascia",1.12931,51.37344,"GB",1055896092
"Petalonia fascia",139.603,35.222,"JP",998913805
"Petalonia fascia",12,55,"DK",354527540
"Petalonia fascia",174.65917,-36.95694,"NZ",1269393684
"Petalonia fascia",174.89917,-36.86278,"NZ",1269390566
"Petalonia fascia",-8.96668,53.17312,"IE",368079306
"Petalonia fascia",7.15773,53.70647,"DE",296570127
"Petalonia fascia",172.93738,-34.42586,"NZ",1269391867
"Petalonia fascia",12,56,"DK",354527536
"Petalonia fascia",-10.101,51.75431,"IE",368078697
"Petalonia fascia",31.08838,70.39811,"NO",239489163
"Petalonia fascia",29.51256,69.51948,"NO",239489195
"Petalonia fascia",10,57,"DK",354527537
"Petalonia fascia",-8.64048,54.32056,"IE",368079147
"Petalonia fascia",8.4339,55.0304,"none",354286766
"Petalonia fascia",-9.7708,53.29388,"IE",368078292
"Petalonia fascia",140.521,36.1275,"JP",380202224
"Petalonia fascia",140.549,36.1036,"JP",380202227
"Petalonia fascia",-9.12935,53.24959,"IE",368078046
"Petalonia fascia",-6.01321,52.95189,"IE",368078139
"Petalonia fascia",0.22159,50.95236,"GB",1056053841
"Petalonia fascia",-6.08948,53.19639,"IE",368079094
"Petalonia fascia",-6.0591,53.14632,"IE",368078117
"Petalonia fascia",-8.29295,51.81191,"IE",368077886
"Petalonia fascia",-18.60547,64.99759,"IS",1135518739
"Petalonia fascia",-13,65,"IS",354527514
"Petalonia fascia",-14,65,"IS",354527518
"Petalonia fascia",-14,66,"IS",354527519
"Petalonia fascia",-14,64,"IS",354527523
"Petalonia fascia",-13,64,"IS",354527526
"Petalonia fascia",-8.29304,51.78064,"IE",368077696
"Petalonia fascia",18.43533,69.89907,"NO",239488601
"Petalonia fascia",-18,66,"IS",354527485
