"species","lon","lat","countryCode","gbifID"
"Pleonosporium borreri",5.23741,59.67442,"NO",1241161765
"Pleonosporium borreri",-7.372,37.175,"ES",235570415
"Pleonosporium borreri",-5.26282,51.73796,"GB",806708551
"Pleonosporium borreri",-8.87,40.17,"PT",354531670
"Pleonosporium borreri",4.97,61.62,"NO",354531628
"Pleonosporium borreri",4.85,61.57,"NO",354531622
"Pleonosporium borreri",-4.74,43.41,"ES",211616734
"Pleonosporium borreri",-5.39,43.54,"ES",211616738
"Pleonosporium borreri",-16.034,28.17,"ES",235581033
"Pleonosporium borreri",8.31583,43.47194,"IT",1141526041
"Pleonosporium borreri",0.23,38.75,"ES",214664982
"Pleonosporium borreri",0.16,38.71,"ES",214665018
"Pleonosporium borreri",0.19,38.73,"ES",214664956
"Pleonosporium borreri",-5.0622,51.70648,"GB",790604241
"Pleonosporium borreri",-5.06208,51.70468,"GB",790604330
"Pleonosporium borreri",-5.06051,51.70293,"GB",790604639
"Pleonosporium borreri",-5.05888,51.70027,"GB",790604962
"Pleonosporium borreri",-5.05894,51.70117,"GB",790604867
"Pleonosporium borreri",-2.17,49.17,"JE",354531665
"Pleonosporium borreri",-16.75,28.35,"ES",1141810204
"Pleonosporium borreri",-4.669,51.178,"GB",1056996711
"Pleonosporium borreri",0.91371,51.20854,"GB",1056501171
"Pleonosporium borreri",-6.12,56.495,"GB",1056367727
"Pleonosporium borreri",-5.20037,51.71539,"GB",790590593
"Pleonosporium borreri",-5.1518,51.70411,"GB",790589261
"Pleonosporium borreri",-5.22835,51.72182,"GB",790590401
"Pleonosporium borreri",-5.47941,51.72814,"GB",790590316
"Pleonosporium borreri",-5.21829,51.72299,"GB",790646012
"Pleonosporium borreri",-5.1971,51.71008,"GB",790647069
"Pleonosporium borreri",-5.16053,51.70477,"GB",790646229
"Pleonosporium borreri",-1.9569,50.61,"GB",1055704607
"Pleonosporium borreri",-2.109,54.15535,"GB",1055699171
"Pleonosporium borreri",0.18015,38.76907,"ES",188274600
"Pleonosporium borreri",0.18369,38.67907,"ES",188274596
"Pleonosporium borreri",-3.64852,50.60359,"GB",1056354468
"Pleonosporium borreri",1.61506,50.77295,"FR",115631561
"Pleonosporium borreri",-5.06057,51.70382,"GB",790604427
