"species","lon","lat","countryCode","gbifID"
"Pterothamnion plumula",-10.14934,51.75929,"IE","1133925160"
"Pterothamnion plumula",9.80855,58.99358,"NO","1248629294"
"Pterothamnion plumula",7.603,58.01087,"NO","1248629282"
"Pterothamnion plumula",10.70399,59.2543,"NO","1248643024"
"Pterothamnion plumula",8.94422,58.5132,"NO","1248629647"
"Pterothamnion plumula",8.03595,58.1447,"NO","1248635220"
"Pterothamnion plumula",11.06977,59.02468,"NO","1248642714"
"Pterothamnion plumula",8.58178,58.3166,"NO","1248629250"
"Pterothamnion plumula",8.52282,58.25454,"NO","1248672682"
"Pterothamnion plumula",8.06625,58.1323,"NO","1248642742"
"Pterothamnion plumula",9.75365,59.02335,"NO","1248635157"
"Pterothamnion plumula",9.26766,58.74279,"NO","1248652143"
"Pterothamnion plumula",8.53716,58.27313,"NO","1248647863"
"Pterothamnion plumula",0.60122,51.51166,"GB","1265658978"
"Pterothamnion plumula",0.91371,51.20854,"GB","1265658912"
"Pterothamnion plumula",10.60891,59.65812,"NO","1241161513"
"Pterothamnion plumula",1.16133,51.37145,"GB","1055341296"
"Pterothamnion plumula",-0.38776,54.28254,"GB","732463512"
"Pterothamnion plumula",-4.24685,53.17545,"GB","806532781"
"Pterothamnion plumula",1.12931,51.37344,"GB","1055459511"
"Pterothamnion plumula",-5.0404,51.61889,"GB","806526473"
"Pterothamnion plumula",-4.6972,51.67945,"GB","806507759"
"Pterothamnion plumula",-4.69089,51.6706,"GB","806508015"
"Pterothamnion plumula",-4.69591,51.68218,"GB","806507629"
"Pterothamnion plumula",-4.7117,36.4756,"ES","235570558"
"Pterothamnion plumula",-5.81,43.63,"ES","211616813"
"Pterothamnion plumula",-3.64852,50.60359,"GB","1056595905"
"Pterothamnion plumula",-5.29556,51.72985,"GB","802387333"
"Pterothamnion plumula",-5.09092,51.70303,"GB","806534639"
"Pterothamnion plumula",-5.07936,51.70333,"GB","806535268"
"Pterothamnion plumula",-5.08803,51.7031,"GB","806533901"
"Pterothamnion plumula",-5.07207,51.70262,"GB","806535840"
"Pterothamnion plumula",-5.07767,51.69978,"GB","806533658"
"Pterothamnion plumula",1.31439,51.12112,"GB","1055541452"
"Pterothamnion plumula",9.63,57.45,"DK","354540321"
