"species","lon","lat","countryCode","gbifID"
"Pterygophora californica",-121.09223,35.54015,"US",1272085102
"Pterygophora californica",-122.49729,37.49514,"US",1291084082
"Pterygophora californica",-122.49615,37.49494,"US",1272094503
"Pterygophora californica",-123.72842,38.9278,"US",910500276
"Pterygophora californica",-122.32987,37.11111,"US",891170962
"Pterygophora californica",-122.49606,37.49528,"US",891770116
"Pterygophora californica",-123.79493,39.27411,"US",1272117518
"Pterygophora californica",-122.65806,47.93111,"US",617173542
"Pterygophora californica",-123.93333,48.38333,"CA",919116972
"Pterygophora californica",-123.81,48.36,"CA",1001428016
"Pterygophora californica",-125.55319,48.93625,"CA",919117816
"Pterygophora californica",-125.21,48.82,"CA",1001428042
"Pterygophora californica",-125.12,48.79,"CA",1001428086
"Pterygophora californica",-123.42,48.42,"CA",1001428111
"Pterygophora californica",-124.45,48.53,"CA",1001428062
"Pterygophora californica",-131.60931,52.90489,"CA",17580805
"Pterygophora californica",-131.39401,52.54211,"CA",17580829
"Pterygophora californica",-131.14531,52.09768,"CA",17580855
"Pterygophora californica",-131.64912,52.77835,"CA",17580819
"Pterygophora californica",-131.54897,52.53893,"CA",17580827
"Pterygophora californica",-131.0473,52.13881,"CA",17580861
"Pterygophora californica",-131.17711,52.32463,"CA",17580847
"Pterygophora californica",-131.25864,52.39019,"CA",17580849
"Pterygophora californica",-131.47626,52.48867,"CA",17580833
"Pterygophora californica",-131.23672,52.4379,"CA",17580837
"Pterygophora californica",-131.08992,52.28725,"CA",17580845
"Pterygophora californica",-131.27798,52.44815,"CA",17580835
"Pterygophora californica",-131.02698,52.23219,"CA",17580843
"Pterygophora californica",-131.01068,52.13048,"CA",17580859
"Pterygophora californica",-131.22836,52.10565,"CA",17580649
"Pterygophora californica",-132.65933,53.19928,"CA",17580683
"Pterygophora californica",-132.6609,53.20345,"CA",17580679
"Pterygophora californica",-132.46378,53.0267,"CA",17580669
"Pterygophora californica",-131.145,52.10167,"CA",617127132
"Pterygophora californica",-131.41667,52.58,"CA",617127129
"Pterygophora californica",-131.4153,52.5817,"CA",17580211
"Pterygophora californica",-131.14662,52.10146,"CA",17580301
"Pterygophora californica",-127.925,50.93333,"CA",617127518
"Pterygophora californica",-131.67632,53.01082,"CA",17580717
"Pterygophora californica",-122.75797,48.11706,"US",1270726154
"Pterygophora californica",-123.23333,48.41667,"CA",919097987
"Pterygophora californica",-125.55,48.9,"CA",919098133
"Pterygophora californica",-125.19167,48.835,"CA",919098187
"Pterygophora californica",-125.14333,48.88333,"CA",919098168
"Pterygophora californica",-125.19833,48.78167,"CA",919098178
"Pterygophora californica",-125.21,48.83583,"CA",919098137
"Pterygophora californica",-125.11,48.85278,"CA",919098170
"Pterygophora californica",-125.14667,48.83417,"CA",919098183
"Pterygophora californica",-125.18,48.85139,"CA",919098194
"Pterygophora californica",-125.16,48.85139,"CA",919098143
"Pterygophora californica",-125.19833,48.83,"CA",919098161
"Pterygophora californica",-125.12167,48.85167,"CA",919098152
"Pterygophora californica",-125.29361,48.87361,"CA",919098176
"Pterygophora californica",-125.10833,48.85722,"CA",919098184
"Pterygophora californica",-125.12,48.89833,"CA",919098177
"Pterygophora californica",-125.11667,48.855,"CA",919098181
"Pterygophora californica",-125.12,48.92917,"CA",919098179
"Pterygophora californica",-125.16,48.825,"CA",919098186
"Pterygophora californica",-125.13333,48.83833,"CA",919098209
"Pterygophora californica",-125.21806,48.7,"CA",919098139
"Pterygophora californica",-125.19667,48.85167,"CA",919098146
"Pterygophora californica",-125.21806,48.82833,"CA",919098165
"Pterygophora californica",-124.23333,48.92306,"CA",919098125
"Pterygophora californica",-125.12667,48.92083,"CA",919098153
"Pterygophora californica",-125.155,48.825,"CA",919098204
"Pterygophora californica",-123.71667,48.35,"CA",919098123
"Pterygophora californica",-123.98333,48.38333,"CA",919097974
"Pterygophora californica",-128.63,50.81167,"CA",617127155
"Pterygophora californica",-127.55833,50.85333,"CA",617127195
"Pterygophora californica",-128.1,50.45333,"CA",617127188
"Pterygophora californica",-127.975,50.32333,"CA",617127197
"Pterygophora californica",-127.55667,50.07333,"CA",617127152
"Pterygophora californica",-128.35667,50.66333,"CA",617127493
"Pterygophora californica",-126.83667,49.60333,"CA",617127190
"Pterygophora californica",-128.32,50.80333,"CA",617127194
"Pterygophora californica",-128.31833,50.665,"CA",617127150
"Pterygophora californica",-127.96167,50.44167,"CA",617127192
"Pterygophora californica",-128.24333,50.57333,"CA",617127186
"Pterygophora californica",-125.19,48.80167,"CA",617127199
"Pterygophora californica",-128.425,50.78667,"CA",617127156
"Pterygophora californica",-127.24667,49.92333,"CA",617127495
"Pterygophora californica",-122.66532,48.6922,"US",1270726239
"Pterygophora californica",-125.91667,49.13333,"CA",919098030
"Pterygophora californica",-125.78333,49.06667,"CA",919098141
"Pterygophora californica",-127.25,49.92333,"CA",617127213
"Pterygophora californica",-124.69167,48.36667,"US",617127626
"Pterygophora californica",-136.5,58.1,"US",919097960
"Pterygophora californica",-128.41667,50.76667,"CA",919097954
"Pterygophora californica",-127.63333,50.15833,"CA",617127173
"Pterygophora californica",-128.05,50.87833,"CA",617127171
"Pterygophora californica",-127.35,50.01667,"CA",919097894
"Pterygophora californica",-126.1,49.21667,"CA",919098007
"Pterygophora californica",-127.36667,50.01667,"CA",919097937
"Pterygophora californica",-123.01667,48.43333,"US",919098197
"Pterygophora californica",-123.73056,48.36111,"CA",919097924
"Pterygophora californica",-123.93889,48.38611,"CA",919098002
"Pterygophora californica",-119.4178,36.7781,"US",1056526469
"Pterygophora californica",-119.69722,34.42083,"US",415942843
"Pterygophora californica",-122.95908,48.42107,"US",1305325873
