"species","lon","lat","countryCode","gbifID"
"Rhizoclonium africanum",174.82486,-36.86414,"NZ","1269433236"
"Rhizoclonium africanum",174.66522,-36.95414,"NZ","1269433724"
"Rhizoclonium africanum",174.475,-36.86278,"NZ","1269434340"
"Rhizoclonium africanum",174.80728,-36.46761,"NZ","1269431998"
"Rhizoclonium africanum",-44.38333,-2.51667,"BR","1087724673"
"Rhizoclonium africanum",174.87333,-36.45056,"NZ","1269409585"
"Rhizoclonium africanum",-39.69444,-18.39806,"BR","1090881696"
"Rhizoclonium africanum",-38.63583,-12.72472,"BR","1094900605"
"Rhizoclonium africanum",-48.52422,-27.44375,"BR","1077339117"
"Rhizoclonium africanum",174.8325,-36.42778,"NZ","1269397376"
"Rhizoclonium africanum",-38.64333,-12.71333,"BR","1094877591"
"Rhizoclonium africanum",-41.44167,-2.94556,"BR","1086981823"
"Rhizoclonium africanum",174.79556,-36.50417,"NZ","1269402059"
"Rhizoclonium africanum",175.19778,-36.80139,"NZ","1269392575"
"Rhizoclonium africanum",-45.29458,-23.83767,"BR","1095829257"
"Rhizoclonium africanum",174.65,-36.16667,"NZ","1269393010"
"Rhizoclonium africanum",174.86278,-36.80861,"NZ","1269393041"
"Rhizoclonium africanum",-38.93,-13.57833,"BR","1094853764"
"Rhizoclonium africanum",-38.6225,-12.98806,"BR","1094843165"
"Rhizoclonium africanum",-45.35,-23.77,"BR","1087404119"
"Rhizoclonium africanum",-45.07028,-23.435,"BR","1095825847"
"Rhizoclonium africanum",-40.7219,-20.8378,"BR","1087403016"
"Rhizoclonium africanum",-46.17667,-23.91083,"BR","1087404288"
"Rhizoclonium africanum",-45.07,-23.43,"BR","1087404041"
"Rhizoclonium africanum",153.4167,-27.48333,"AU","1066739514"
"Rhizoclonium africanum",152.48102,-24.8538,"AU","1066739503"
"Rhizoclonium africanum",159.081,-31.5839,"AU","995875598"
"Rhizoclonium africanum",159.099,-31.5594,"AU","995874722"
"Rhizoclonium africanum",159.049,-31.5147,"AU","995873208"
"Rhizoclonium africanum",159.098,-31.5594,"AU","995874310"
"Rhizoclonium africanum",159.083,-31.5594,"AU","995875058"
"Rhizoclonium africanum",159.093,-31.5531,"AU","995873240"
"Rhizoclonium africanum",-59.77806,8.2,"GY","1141744813"
"Rhizoclonium africanum",-38.849,-14.947,"BR","25162653"
"Rhizoclonium africanum",-36.808,-17.066,"BR","25162577"
"Rhizoclonium africanum",-37.913,-18.594,"BR","25162610"
"Rhizoclonium africanum",-90.35,20.9,"MX","371242668"
"Rhizoclonium africanum",-90.367,20.85,"MX","371243012"
"Rhizoclonium africanum",-90.35,20.867,"MX","371242815"
"Rhizoclonium africanum",-90.333,20.95,"MX","371242382"
"Rhizoclonium africanum",-90.333,20.917,"MX","371242512"
"Rhizoclonium africanum",-90.383,20.833,"MX","371243221"
"Rhizoclonium africanum",-90.383,20.817,"MX","371253734"
"Rhizoclonium africanum",149.60941,-20.87343001,"AU","993017947"
"Rhizoclonium africanum",123.1258,9.0625,"PH","888223944"
"Rhizoclonium africanum",136.4333,-14.1292,"AU","1211626613"
"Rhizoclonium africanum",-47.92,-25.01,"BR","1087395669"
"Rhizoclonium africanum",145.45,-14.6833,"AU","1211626492"
"Rhizoclonium africanum",-1.2073,7.95985,"GH","1056394165"
"Rhizoclonium africanum",-2.08,4.47,"GH","621098091"
"Rhizoclonium africanum",-77.0333,26.4,"BS","888223926"
"Rhizoclonium africanum",-1.29,5.03,"GH","621098092"
"Rhizoclonium africanum",-68.07833,-55.525,"CL","617080679"
"Rhizoclonium africanum",-67.1,-55.20833,"CL","617080669"
"Rhizoclonium africanum",-67.95333,-55.25167,"CL","617080677"
"Rhizoclonium africanum",-68.39167,-54.93333,"CL","617080667"
"Rhizoclonium africanum",-49.72806,-29.33778,"BR","1087392713"
"Rhizoclonium africanum",-41.85,-2.25,"BR","1086621093"
"Rhizoclonium africanum",-73.86667,-46.66667,"CL","919075010"
"Rhizoclonium africanum",-73.74217,-43.90033,"CL","617080649"
"Rhizoclonium africanum",151.8756,7.535,"FM","888224013"
"Rhizoclonium africanum",151.876,7.535,"FM","1090359664"
"Rhizoclonium africanum",-1.57,4.48,"GH","621098082"
"Rhizoclonium africanum",-2.14,4.52,"GH","621098096"
"Rhizoclonium africanum",153.4261,-27.97340002,"AU","993009989"
"Rhizoclonium africanum",-157.9,21.5667,"US","38444548"
"Rhizoclonium africanum",-157.733,21.4167,"US","38443724"
"Rhizoclonium africanum",153.10941,-26.39007002,"AU","993010975"
"Rhizoclonium africanum",153.076,-26.39007002,"AU","993010215"
"Rhizoclonium africanum",101.01736,15.12704,"TH","1056509885"
"Rhizoclonium africanum",145.4306,-14.6672,"AU","1211626535"
"Rhizoclonium africanum",174.70889,-36.92917,"NZ","1269418123"
"Rhizoclonium africanum",175.94631,-37.56331,"NZ","1269433288"
"Rhizoclonium africanum",175.97464,-37.51572,"NZ","1269433247"
"Rhizoclonium africanum",174.68444,-37.67944,"NZ","1269392991"
"Rhizoclonium africanum",174.89417,-36.76194,"NZ","1269399630"
"Rhizoclonium africanum",174.80544,-36.28733,"NZ","1269429787"
"Rhizoclonium africanum",-82.53,27.71,"US","AH"
