"species","lon","lat","countryCode","gbifID"
"Rhodophyllis divaricata",-9.95117,53.8033,"IE",1313446773
"Rhodophyllis divaricata",11.0939,58.8905,"SE",1123365502
"Rhodophyllis divaricata",-9.7702,53.29388,"IE",368080239
"Rhodophyllis divaricata",-4.20755,53.19687,"GB",806523085
"Rhodophyllis divaricata",-4.41516,52.86732,"GB",806681043
"Rhodophyllis divaricata",-4.46962,52.8581,"GB",806680949
"Rhodophyllis divaricata",-3.386,36.708,"ES",235570453
"Rhodophyllis divaricata",-9.7708,53.29388,"IE",368078306
"Rhodophyllis divaricata",-5.941,36.186,"ES",910445568
"Rhodophyllis divaricata",-5.28043,51.74106,"GB",802386817
"Rhodophyllis divaricata",7.03413,58.04357,"NO",239540838
"Rhodophyllis divaricata",-5.09092,51.70303,"GB",806534643
"Rhodophyllis divaricata",-5.07767,51.69978,"GB",806533660
"Rhodophyllis divaricata",-5.07195,51.70083,"GB",806533559
"Rhodophyllis divaricata",-5.07936,51.70333,"GB",806535281
"Rhodophyllis divaricata",-5.07207,51.70262,"GB",806535847
"Rhodophyllis divaricata",-5.08803,51.7031,"GB",806533903
"Rhodophyllis divaricata",-4.60594,53.41992,"GB",806706094
"Rhodophyllis divaricata",-4.57904,53.27393,"GB",806707806
"Rhodophyllis divaricata",-5.26282,51.73796,"GB",806708373
"Rhodophyllis divaricata",-5.13898,51.70715,"GB",806705449
"Rhodophyllis divaricata",-4.95887,51.69834,"GB",806702913
"Rhodophyllis divaricata",-4.26826,52.72903,"GB",806464815
"Rhodophyllis divaricata",-4.31013,52.70844,"GB",806464156
"Rhodophyllis divaricata",-4.31166,52.70931,"GB",806464248
"Rhodophyllis divaricata",-4.26984,52.7308,"GB",806464976
"Rhodophyllis divaricata",-4.23255,52.75489,"GB",806734070
"Rhodophyllis divaricata",-4.24172,52.76011,"GB",806464068
"Rhodophyllis divaricata",-4.22636,52.74961,"GB",806463248
"Rhodophyllis divaricata",-4.31629,52.71282,"GB",806464632
"Rhodophyllis divaricata",-4.27136,52.73167,"GB",806465123
"Rhodophyllis divaricata",-4.31171,52.71021,"GB",806464348
"Rhodophyllis divaricata",-4.23404,52.75486,"GB",806463820
"Rhodophyllis divaricata",-4.22788,52.75048,"GB",806463460
"Rhodophyllis divaricata",-4.45031,52.80545,"GB",806450400
"Rhodophyllis divaricata",-4.46937,52.80145,"GB",796137582
"Rhodophyllis divaricata",-4.69302,52.86673,"GB",806453977
"Rhodophyllis divaricata",-4.32039,52.70644,"GB",806460046
"Rhodophyllis divaricata",-4.4593,52.80706,"GB",806460389
"Rhodophyllis divaricata",-4.24167,52.75922,"GB",806458803
"Rhodophyllis divaricata",-4.36432,52.69748,"GB",806457705
"Rhodophyllis divaricata",-4.43237,52.85618,"GB",806460921
