"species","lon","lat","countryCode","gbifID"
"Saccharina bongardiana",-122.72329,48.02456,"US",1065577691
"Saccharina bongardiana",-131.2115,52.093,"CA",17572806
"Saccharina bongardiana",-131.0915,52.1548,"CA",17572834
"Saccharina bongardiana",-131.2236,52.1038,"CA",17572820
"Saccharina bongardiana",-131.091,52.155,"CA",17572784
"Saccharina bongardiana",-131.09,52.156,"CA",17572788
"Saccharina bongardiana",-131.2242,52.1019,"CA",17572818
"Saccharina bongardiana",-131.2153,52.0963,"CA",17572778
"Saccharina bongardiana",-132.00673,53.21475,"CA",17572928
"Saccharina bongardiana",-132.52473,53.15772,"CA",17572920
"Saccharina bongardiana",-131.96773,53.29477,"CA",17572880
"Saccharina bongardiana",-132.21172,53.77675,"CA",17572900
"Saccharina bongardiana",-131.0846,52.15203,"CA",17572968
"Saccharina bongardiana",-131.60931,52.90489,"CA",17573203
"Saccharina bongardiana",-131.44919,52.60455,"CA",17573477
"Saccharina bongardiana",-131.29785,52.33672,"CA",17573387
"Saccharina bongardiana",-131.11618,52.15888,"CA",17573375
"Saccharina bongardiana",-131.0935,52.16005,"CA",17573485
"Saccharina bongardiana",-131.50618,52.51939,"CA",17573453
"Saccharina bongardiana",-131.39485,52.41905,"CA",17572854
"Saccharina bongardiana",-131.225,52.10105,"CA",17573339
"Saccharina bongardiana",-131.335,52.19838,"CA",17572850
"Saccharina bongardiana",-131.46918,52.46789,"CA",17573449
"Saccharina bongardiana",-131.61069,52.72872,"CA",17573505
"Saccharina bongardiana",-131.298,52.14305,"CA",17572844
"Saccharina bongardiana",-131.1174,52.1624,"CA",17573405
"Saccharina bongardiana",-131.44952,52.60405,"CA",17573481
"Saccharina bongardiana",-131.92868,52.62838,"CA",17573499
"Saccharina bongardiana",-131.15485,52.09988,"CA",17573215
"Saccharina bongardiana",-131.03168,52.11855,"CA",17573223
"Saccharina bongardiana",-131.55,52.34555,"CA",17573429
"Saccharina bongardiana",-131.61252,52.73139,"CA",17573515
"Saccharina bongardiana",-131.00685,52.21872,"CA",17573365
"Saccharina bongardiana",-130.94684,52.07672,"CA",17572392
