"species","lon","lat","countryCode","gbifID"
"Saccharina sessilis",-122.76182,48.14339,"US",1265570873
"Saccharina sessilis",-131.01196,52.13251,"CA",1305173808
"Saccharina sessilis",-122.77315,48.14316,"US",1088917932
"Saccharina sessilis",-123.33262,38.56524,"US",891770774
"Saccharina sessilis",-126.83338,50.58722,"CA",617172799
"Saccharina sessilis",-125.16,48.77,"CA",1007151101
"Saccharina sessilis",-125.12,48.79,"CA",1001428495
"Saccharina sessilis",-124.45,48.53,"CA",1001428470
"Saccharina sessilis",-128.26,50.59,"CA",1001428445
"Saccharina sessilis",-152.78225,58.44911,"US",919117428
"Saccharina sessilis",-152.33355,58.43258,"US",617169584
"Saccharina sessilis",-154.3297,56.88732,"US",617167140
"Saccharina sessilis",-125.16,48.82,"CA",1007151126
"Saccharina sessilis",-165.7705,54.12017,"US",919118863
"Saccharina sessilis",-162.6,54.4,"US",617168079
"Saccharina sessilis",-153.37567,59.00867,"US",617169816
"Saccharina sessilis",-151.71038,59.45758,"US",617169911
"Saccharina sessilis",-123.71667,48.36667,"CA",617164968
"Saccharina sessilis",-123.43333,48.41667,"CA",919115707
"Saccharina sessilis",-123.9,48.4,"CA",617170772
"Saccharina sessilis",-122.66667,48.41667,"US",617170761
"Saccharina sessilis",-123.71667,48.33333,"CA",919119065
"Saccharina sessilis",-123.71667,48.35,"CA",919096785
"Saccharina sessilis",-122.76667,48.23333,"US",919094875
"Saccharina sessilis",-124.43333,48.51667,"CA",919096033
"Saccharina sessilis",-128.2,50.65,"CA",919095161
"Saccharina sessilis",-132.1,52.75,"CA",919123153
"Saccharina sessilis",-128.72222,52.26667,"CA",919115098
"Saccharina sessilis",-123.7,48.36667,"CA",617086589
"Saccharina sessilis",-125.15,48.81667,"CA",617094842
"Saccharina sessilis",-123.96667,45.75667,"US",617094958
"Saccharina sessilis",-136.41667,57.83333,"US",617119320
"Saccharina sessilis",-125.15,48.8,"CA",919078172
"Saccharina sessilis",-125.18333,48.83333,"CA",617094866
"Saccharina sessilis",-131.41667,52.58,"CA",617086443
"Saccharina sessilis",-132.105,52.75,"CA",617094861
"Saccharina sessilis",-131.35,52.57667,"CA",617094864
"Saccharina sessilis",-132.96167,54.22567,"CA",617086445
"Saccharina sessilis",-132.34283,53.03467,"CA",617086483
"Saccharina sessilis",-129.18,53.06333,"CA",617094859
"Saccharina sessilis",-132.96167,54.23833,"CA",617094863
"Saccharina sessilis",-127.91667,50.93333,"CA",617094847
"Saccharina sessilis",-122.9667,48.45,"US",1142175830
"Saccharina sessilis",-127.95,50.91667,"CA",919082213
"Saccharina sessilis",-127.0833,50.925,"CA",1142176312
"Saccharina sessilis",-126.27833,49.345,"CA",617086608
"Saccharina sessilis",-127.26167,49.92333,"CA",617086604
"Saccharina sessilis",-127.46683,50.44833,"CA",617094857
"Saccharina sessilis",-123.98333,45.98,"US",617095027
"Saccharina sessilis",-123.96667,45.75,"US",919082278
"Saccharina sessilis",-151.7,59.46667,"US",617170751
"Saccharina sessilis",-125.78333,49.06667,"CA",617170767
"Saccharina sessilis",-127.11667,48.86167,"CA",617086602
"Saccharina sessilis",-133.84167,55.88333,"US",617086263
"Saccharina sessilis",-135.58667,57.14167,"US",617086261
"Saccharina sessilis",-127.9195,50.42667,"CA",617086722
"Saccharina sessilis",-127.16167,50.64,"CA",617086609
"Saccharina sessilis",-127.935,50.92667,"CA",617086719
"Saccharina sessilis",-123.98333,48.38333,"CA",617086388
"Saccharina sessilis",-125.89667,49.775,"CA",617086799
"Saccharina sessilis",-125.55,48.9,"CA",919078248
"Saccharina sessilis",-125.32917,48.85,"CA",919082203
"Saccharina sessilis",-125.19167,48.835,"CA",617094897
"Saccharina sessilis",-125.34,48.85417,"CA",617094893
"Saccharina sessilis",-125.24944,48.83056,"CA",919082212
"Saccharina sessilis",-125.16333,48.81806,"CA",617094902
"Saccharina sessilis",-125.16333,48.83417,"CA",919082279
"Saccharina sessilis",-125.195,48.83,"CA",919082250
"Saccharina sessilis",-125.36333,48.84306,"CA",617094887
"Saccharina sessilis",-125.16,48.8375,"CA",919082236
"Saccharina sessilis",-125.165,48.86583,"CA",617094881
"Saccharina sessilis",-125.15833,48.81333,"CA",617094875
"Saccharina sessilis",-125.16,48.825,"CA",919082220
"Saccharina sessilis",-125.18667,48.85167,"CA",617094871
"Saccharina sessilis",-124.43333,48.55,"CA",617086629
"Saccharina sessilis",-123.98611,48.39722,"CA",919078216
"Saccharina sessilis",-123.23333,48.41667,"CA",919078310
"Saccharina sessilis",-128.63,50.80833,"CA",617094751
"Saccharina sessilis",-127.96667,50.92417,"CA",617094674
"Saccharina sessilis",-127.64667,50.11333,"CA",617094744
"Saccharina sessilis",-127.55667,50.07167,"CA",617094739
"Saccharina sessilis",-128.87667,50.09833,"CA",617094749
"Saccharina sessilis",-128.32,50.80333,"CA",617094914
"Saccharina sessilis",-126.83667,49.60333,"CA",617094924
"Saccharina sessilis",-128.00033,50.34417,"CA",617094888
"Saccharina sessilis",-127.255,49.96167,"CA",617094730
"Saccharina sessilis",-125.19,48.80167,"CA",617094917
