"species","lon","lat","countryCode","gbifID"
"Schizymenia pacifica",-135.35,57.03333,"US","1054800588"
"Schizymenia pacifica",-128.135,51.66472,"CA","617174188"
"Schizymenia pacifica",-128.13528,51.66583,"CA","617174187"
"Schizymenia pacifica",-128.14361,51.65111,"CA","617174191"
"Schizymenia pacifica",-126.83338,50.58722,"CA","617172307"
"Schizymenia pacifica",-126.59567,50.79417,"CA","617172294"
"Schizymenia pacifica",-131.28,52.45,"CA","1007663288"
"Schizymenia pacifica",-123.80328,39.27986,"US","919120441"
"Schizymenia pacifica",-125.55319,48.93625,"CA","617167523"
"Schizymenia pacifica",-130.32969,54.22053,"CA","617167695"
"Schizymenia pacifica",-135.56667,57.15111,"US","919118929"
"Schizymenia pacifica",-152.37057,58.63577,"US","617169622"
"Schizymenia pacifica",-135.36361,57.04694,"US","919120865"
"Schizymenia pacifica",-135.36667,57.05,"US","919119616"
"Schizymenia pacifica",-127.46,50.72,"CA","1007663205"
"Schizymenia pacifica",-125.2,48.83333,"CA","919117773"
"Schizymenia pacifica",-123.93333,48.38333,"CA","919116726"
"Schizymenia pacifica",-124.83333,48.81667,"CA","919116706"
"Schizymenia pacifica",-123.68333,49.15,"CA","919115427"
"Schizymenia pacifica",-131.20502,52.13105,"CA","17582670"
"Schizymenia pacifica",-123.71667,48.35,"CA","919096197"
"Schizymenia pacifica",-125.15,58.85,"CA","919096777"
"Schizymenia pacifica",-130.32833,54.225,"CA","617125156"
"Schizymenia pacifica",-122.66667,48.36667,"US","919096811"
"Schizymenia pacifica",-124.43333,48.51667,"CA","919095939"
"Schizymenia pacifica",-123.25833,49.325,"CA","617121519"
"Schizymenia pacifica",-125.16667,48.86667,"CA","919095711"
"Schizymenia pacifica",-127.4,50.7,"CA","919094547"
"Schizymenia pacifica",-122.98333,48.56667,"US","919095772"
"Schizymenia pacifica",-122.63333,48.53333,"US","919096094"
"Schizymenia pacifica",-123.03333,48.46667,"US","919094654"
"Schizymenia pacifica",-125.15,48.8,"CA","919094256"
"Schizymenia pacifica",-123.98333,48.38333,"CA","919094224"
"Schizymenia pacifica",-124.44667,48.525,"CA","617119829"
"Schizymenia pacifica",-125.15,48.85,"CA","919094311"
"Schizymenia pacifica",-128.72222,52.26667,"CA","919087951"
"Schizymenia pacifica",-128.71667,52.30833,"CA","919087941"
"Schizymenia pacifica",-128.675,52.27639,"CA","919087888"
"Schizymenia pacifica",-128.66667,52.275,"CA","919087865"
"Schizymenia pacifica",-123.11667,49.3,"CA","919086324"
"Schizymenia pacifica",-123.15,49.31667,"CA","919086321"
"Schizymenia pacifica",-131.83333,55.45778,"US","1270729325"
"Schizymenia pacifica",-123.13333,48.5,"US","919086431"
"Schizymenia pacifica",-124.45,48.53333,"CA","919086688"
"Schizymenia pacifica",-123.7,48.36667,"CA","919086315"
