"species","lon","lat","countryCode","gbifID"
"Scytothamnus fasciculatus",-59.462,-51.519,"FK","1055400139"
"Scytothamnus fasciculatus",-69.65028,-53.63472,"CL","910568007"
"Scytothamnus fasciculatus",-70.92167,-53.625,"CL","910568391"
"Scytothamnus fasciculatus",-70.13611,-53.45917,"CL","910569745"
"Scytothamnus fasciculatus",-67.60639,-54.93278,"CL","910569297"
"Scytothamnus fasciculatus",148.3038574,-41.87618514,"AU","1061510987"
"Scytothamnus fasciculatus",147.8549952,-43.18258771,"AU","1061510929"
"Scytothamnus fasciculatus",147.9177714,-43.015366,"AU","1061510580"
"Scytothamnus fasciculatus",148.3010079,-41.86527283,"AU","994479588"
"Scytothamnus fasciculatus",147.9167,-43.0167,"AU","994909673"
"Scytothamnus fasciculatus",146.5933,-42.0214,"AU","1057261697"
"Scytothamnus fasciculatus",147.91667,-43.01667,"AU","1141421609"
"Scytothamnus fasciculatus",147.9343619,-43.01528316,"AU","994425763"
"Scytothamnus fasciculatus",147.851036,-43.18194499,"AU","994479051"
"Scytothamnus fasciculatus",-69.15722,-54.94,"CL","910568063"
"Scytothamnus fasciculatus",166.28333,-50.53333,"NZ","1269413987"
"Scytothamnus fasciculatus",-68.8,-54.85,"CL","919104073"
"Scytothamnus fasciculatus",-66.83333,-55.11667,"CL","919104060"
"Scytothamnus fasciculatus",-68.175,-55.06667,"CL","617139910"
"Scytothamnus fasciculatus",-66.825,-55.29667,"CL","617139913"
"Scytothamnus fasciculatus",-68.07833,-55.525,"CL","617139915"
"Scytothamnus fasciculatus",-67.1,-55.20833,"CL","617139917"
"Scytothamnus fasciculatus",-68.30778,-54.92444,"CL","919104048"
"Scytothamnus fasciculatus",147.3177116,-42.99861851,"AU","994588120"
"Scytothamnus fasciculatus",147.8511002,-42.8820257,"AU","1061508483"
"Scytothamnus fasciculatus",170.65,-45.83333,"NZ","1269426311"
"Scytothamnus fasciculatus",167.7,-47.15,"NZ","1269418805"
"Scytothamnus fasciculatus",147.3233359,-43.3589838,"AU","991972699"
"Scytothamnus fasciculatus",168.13333,-46.91667,"NZ","1269418863"
"Scytothamnus fasciculatus",168,-47,"NZ","1269418841"
"Scytothamnus fasciculatus",168.13333,-46.9,"NZ","1269418766"
"Scytothamnus fasciculatus",168.15,-46.9,"NZ","1269418795"
"Scytothamnus fasciculatus",172.71667,-43.61667,"NZ","1269426342"
"Scytothamnus fasciculatus",168.1,-46.9,"NZ","1269418739"
"Scytothamnus fasciculatus",167.7,-47.16667,"NZ","1269418811"
"Scytothamnus fasciculatus",167.68333,-47.2,"NZ","1269418816"
"Scytothamnus fasciculatus",173.7,-42.41667,"NZ","1269418800"
"Scytothamnus fasciculatus",147.8461047,-43.14758755,"AU","991976494"
"Scytothamnus fasciculatus",173.31667,-42.86667,"NZ","1269426289"
"Scytothamnus fasciculatus",164.91667,-49.91667,"NZ","1269418837"
"Scytothamnus fasciculatus",147.3667,-42.8667,"AU","994625972"
"Scytothamnus fasciculatus",174,-41.28333,"NZ","1269426189"
"Scytothamnus fasciculatus",168.2,-46.91667,"NZ","1269418785"
"Scytothamnus fasciculatus",168.11667,-46.9,"NZ","1269216328"
"Scytothamnus fasciculatus",168.05,-46.91667,"NZ","1269418754"
"Scytothamnus fasciculatus",174.9,-41.25,"NZ","1269426319"
"Scytothamnus fasciculatus",170.63333,-45.96667,"NZ","1269413972"
"Scytothamnus fasciculatus",167.9835,-46.93485,"NZ","1305329645"
"Scytothamnus fasciculatus",166.91667,-50.75,"NZ","1269234792"
"Scytothamnus fasciculatus",168.18333,-47.06667,"NZ","1269418774"
"Scytothamnus fasciculatus",-73.8,-41.8,"CL","AH"
