"species","lon","lat","countryCode","gbifID"
"Sparlingia pertusa",-122.79375,48.14127,"US",1065600564
"Sparlingia pertusa",-122.7862,48.14328,"US",1065577218
"Sparlingia pertusa",-135.35,57.03333,"US",1054800607
"Sparlingia pertusa",-134.93417,58.60667,"US",617174010
"Sparlingia pertusa",-122.65806,47.93111,"US",768240447
"Sparlingia pertusa",-163.00861,55.24417,"US",617174372
"Sparlingia pertusa",-130.49019,54.31808,"CA",617169492
"Sparlingia pertusa",-162.698,54.456,"US",617168049
"Sparlingia pertusa",-130.32969,54.22053,"CA",617167738
"Sparlingia pertusa",-130.49372,54.33075,"CA",617166545
"Sparlingia pertusa",-162.4679,54.456,"US",617168047
"Sparlingia pertusa",-125.16,48.82,"CA",999750985
"Sparlingia pertusa",-162.6,54.4,"US",617170595
"Sparlingia pertusa",-162.49,54.37,"US",617168043
"Sparlingia pertusa",-162.468,54.456,"US",617170617
"Sparlingia pertusa",-166.81861,53.99472,"US",919117360
"Sparlingia pertusa",-152.76504,58.38776,"US",1270727784
"Sparlingia pertusa",-152.82428,58.40861,"US",617168457
"Sparlingia pertusa",-152.3719,58.63362,"US",617169646
"Sparlingia pertusa",-152.83335,58.40448,"US",617169842
"Sparlingia pertusa",-153.96908,56.95587,"US",617169271
"Sparlingia pertusa",-153.68127,56.87247,"US",617169868
"Sparlingia pertusa",-127.64,50.85,"CA",999750711
"Sparlingia pertusa",-153.56356,59.62897,"US",919120032
"Sparlingia pertusa",-153.56667,59.61667,"US",919119104
"Sparlingia pertusa",-147.41,60.3,"US",177338967
"Sparlingia pertusa",-147.12,60.39,"US",177338751
"Sparlingia pertusa",-151.54,59.54,"US",177339155
"Sparlingia pertusa",-154.11,57.57,"US",177339313
"Sparlingia pertusa",-151.72139,59.45083,"US",919118588
"Sparlingia pertusa",-154.53322,58.07723,"US",617169802
"Sparlingia pertusa",-122.96,48.45,"US",999750733
"Sparlingia pertusa",-125.12,48.85,"CA",1006359086
"Sparlingia pertusa",-134.935,58.6075,"US",617173658
"Sparlingia pertusa",-123.93333,48.38333,"CA",617163408
"Sparlingia pertusa",-123.68333,49.15,"CA",617163236
"Sparlingia pertusa",-123.9,49.35,"CA",919095731
"Sparlingia pertusa",-149.74667,59.7875,"US",617162852
"Sparlingia pertusa",-123.23333,49.55,"CA",919097173
"Sparlingia pertusa",-123.25833,49.325,"CA",617124794
"Sparlingia pertusa",-130.85,54.25,"CA",919096804
"Sparlingia pertusa",-130.5,54.33333,"CA",919096879
"Sparlingia pertusa",-130.32833,54.225,"CA",617125159
"Sparlingia pertusa",-122.66667,48.36667,"US",919096788
"Sparlingia pertusa",-123.71667,48.35,"CA",919095498
"Sparlingia pertusa",-124.43333,48.51667,"CA",919096311
"Sparlingia pertusa",-128.28333,50.65,"CA",919095132
