"species","lon","lat","countryCode","gbifID"
"Sphaerotrichia divaricata",-162.61667,55.28333,"US",919121275
"Sphaerotrichia divaricata",-72.06388,41.31527,"US",415944104
"Sphaerotrichia divaricata",-135.37686,56.97792,"US",1270728453
"Sphaerotrichia divaricata",-53.8917,48.65,"CA",888213949
"Sphaerotrichia divaricata",-53.89167,48.65,"CA",1270729713
"Sphaerotrichia divaricata",-53.81667,48.66667,"CA",919104309
"Sphaerotrichia divaricata",-53.8167,48.6667,"CA",888214958
"Sphaerotrichia divaricata",-71.99111,41.32777,"US",415942537
"Sphaerotrichia divaricata",-61.75222,47.44833,"CA",620533820
"Sphaerotrichia divaricata",-60.2437,46.26843,"CA",686192880
"Sphaerotrichia divaricata",-63.09453,45.79253,"CA",686192868
"Sphaerotrichia divaricata",-63.31299,46.45831,"CA",620533824
"Sphaerotrichia divaricata",-63.04917,45.8,"CA",620533835
"Sphaerotrichia divaricata",-71.99305,41.32222,"US",415943803
"Sphaerotrichia divaricata",-71.98583,41.32472,"US",415943777
"Sphaerotrichia divaricata",-70.92361,41.45,"US",415943978
"Sphaerotrichia divaricata",-62.84917,44.7,"CA",620533836
"Sphaerotrichia divaricata",-70.67361,41.52638,"US",415942535
"Sphaerotrichia divaricata",-70.67361,41.5125,"US",415942536
"Sphaerotrichia divaricata",-63.61583,44.7,"CA",620533837
"Sphaerotrichia divaricata",-73.4825,40.89166,"US",415942534
"Sphaerotrichia divaricata",-67.1491,44.8704,"US",190589709
"Sphaerotrichia divaricata",-70.65543,41.51707,"US",1305330960
"Sphaerotrichia divaricata",-60.96427,45.32353,"CA",243723707
"Sphaerotrichia divaricata",-65.4,44.85,"CA",113845135
