dataset.shorthand,type,Species.name.olsdrange.mergedw.sdiv,,Species.name.gbifquery,reason.no.map,IUCN,to.check,Range.source,Range.source.website,Range.description,Range.errors,Action..fine...no.action.needed..fine.unconfirmed...gbif.records.look.good.but.no.good.info.to.check.against..excl.points.exclude.points.according.to.code..lts..longs...gbifIDs...country.codes...use.country.codes.as.well.as.lats.longs.gbifIDs..remove.use.IUCN...remove.from.GBIF.pipeline...use.IUCN.map..remove...unsolveable.rnage.errors..remove.species.entirely..partial.range...use.only.the.part.of.the.range.where.the.thermal.tolerance.data.come.from..for.sp.with.disjunct.distributions.in.multiple.coasts.continents..,Action.remove.explanation,countries.in.range,country.codes,gbifIDs.to.excl,code.to.get.gbifIDs.to.excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who.did.final.code,potential.good.gbif.range.for.IUCN.comp,Realm,Body.Mass,tmax,tmax_metric,max_interval_after_LT0,tmax.1,max_metric,max_interval_before_lt100,measure,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,breadth,tmin,min_metric,min_interval_after_lt0,tmin.1,min_metric.1,min_interval_before_lt100,min_metric_com,measure.1,min_pretreatment,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,NOTES,Genus_book,Species_book,in.book,photo.order,name_notes
plants,algae,Ulva intestinalis,,Enteromorpha intestinalis,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Globally distributed: entire Altlandtic, Mediterranean, Caribbean, NE and NW Pacific, Indian Ocean, Autstraliasia, Antarctica","some points on land, some parts of range not well covered",remove,not enough coverage in Greenland where sampled,NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Intertidal,NA,28,LT0,1,NA,,NA,NA,NA,NA,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,,,,2.1,2,name did not yeild a map so updated name
plants,algae,Ulva lactuca,,Ulva lactuca,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Ubiquitous,"Missing in many parts of the world despite description as ""ubiquitous"", gaps in all hemispheres. Best is Europe, but artificially missing in the south.",remove,too much of described range missing,NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Intertidal,NA,26,LT0,1,NA,,NA,NA,NA,NA,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,,-19.6,LT50,,NA,,NA,lethal,lethal,NA,-45.95,170.333333,0,frazer_et_al_1988,1,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,plants alive (with measurable photosynthesis) LT0 = CTMAX? Next measurment is LT100,,,3.5,3,
plants,algae,Codium fragile,,Codium fragile,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Originally a Pacific species, now almost globaly distributed in temperatate warm seas.",,remove,"sampled in Europe, outside of native range.",NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Intertidal,NA,29,LT0,2,33,LT100,NA,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,plants alive (with measurable photosynthesis) LT0 = CTMAX? Next measurment is LT100,,,19.5,4,
plants,algae,Ectocarpus siliculosus,,Ectocarpus siliculosus,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Alomost Glablly distributed. NE Atlantic: Greenland to Canary Islands; North Sea, Baltic, Mediterranean. NW Atlandtic (Canada, USA), SE and SQ Atlantic, Caribbean, NW Pacific (Japan, China); NE Pacific, Australia and New Swaland, Sub-Antrarctica.","Much of range missing, but ok for NE Atlantic. But sampled in South America.",remove,"poor range occurance coverage in South America, where sampled",NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Marine,NA,24,LT0,1,25,LT100,NA,NA,NA,NA,-54.932444,-67.606527,0,Wiencke_and_torn_Dieck_1990,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Ectocarpaceae,,,,30.1,5,
plants,algae,Dictyota dichotoma,,Dictyota dichotoma,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Common and Globally distributed: NE Atlantic (Scandinavia, Canary Is, W Africa); Mediterranean; Caribbean; SW Atlantic (Brazil); NW Pacific (Japan, China); SW Pacific; SE Pacific (Chile); Indian Ocean; Australia, New Zealand, Sub-Antarctic.","W. Atlantic occurances match range description at range edges, E. Atlantic ok, rest of range poorly covered.",partial.range,"use W. Atlantic, from S. America to USA, where sampled for thermal tolerance.",NA,NA,,NA,NA,-33,NA,NA,JS-2016,NA,Marine,NA,32,LT0,3,40,LT100,5,NA,NA,NA,10.448419,-64.197836,0,Biebl_1962,1,,5,LT0,2,3,LT100,2,,,NA,10.448419,-64.197836,0,Biebl_1963,1,Phaeophyceae,Phaeophyceae,Dictyotales,Dictyotaceae,partial damage at 30,,,35.4,6,
plants,algae,Adenocystis utricularis,,Adenocystis utricularis,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Circumpolar in the southern hemisphere: Antarctica and sub-Antarctic Islands, cold-temperature coasts of South America (Chile, Argentina), New Sealand, Tasmania",point in N. Australia and midle of Antarctica to be removed,excl.points,,NA,NA,,NA,NA,NA,-70,-32,JS-2016,NA,Intertidal,NA,21.2,LT0,1,NA,,NA,NA,20,NA,-42.769448,-65.031717,0,Peters_&_Breeman_1993,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Adenocystaceae,,,,46.1,1,
plants,algae,Eudesme virescens,,Eudesme virescens,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"N and NE Atlandtic (Greenland to N France, North Sea, Baltic); Mediterranean; NW Atlantic (Arctic to New York); NW Pacific (Japan, China); NE Pacific (Alaska to Oregon); Sub-Antarctica",,partial.range,"use Atlantic part of range, New York, up to Greenland, across to Island and down to N. France. Specimen sampled in Greenland.",NA,NA,,NA,-90,NA,32,NA,JS-2016,NA,Intertidal,NA,30,LT0,1,NA,,NA,NA,NA,NA,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,,,48.1,7,
plants,algae,Colpomenia peregrina,,Colpomenia peregrina,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Atlantic (Narway to Canary Is); W Mediterranean; NW Pacific (Japan); NE Pacific (Alaska to California): Australia, New Zealand. Only found in N Atlantic from beginning of the 20th centrua onwards, and spreading rapidly norhwards, probably an immigrant from the Pacific",collection point is in invaded part of range (N Atlantic),remove,"sampled in Europe, outside of native range.",NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Intertidal,NA,29,LT0,1,31,LT100,1,NA,15,NA,40.631983,22.932378,0,Orfanidis_1993,1,,3,LT0,1,2,LT100,1,,,15,40.631983,22.932378,0,Orfanidis_1993,1,Phaeophyceae,Phaeophyceae,Ectocarpales,Scytosiphonaceae,"partially dead 27, LT0 Based on immature gametophyte",,,54.1,9,
plants,algae,Petalonia fascia,,Petalonia fascia,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"N and NE Atlantic (Greenland to Canary Is); Mediterranean; NW Atlantic (Arctic to New Jersey); SE Atlantic (Senegal, Namibia, S Afrida); SW Atlantic (Brazil, Uruguay); Indian Ocean (Pakistan, S Africa); SW Pacific (Japan, China); NE Pacific (Alska to California) SE Pacific (Chile); Australia, New Sealand; Antarctic and Sub-Antarctica",,partial.range,"use East Atlantic part of range, sampled in Europe",NA,NA,,NA,-45,,NA,NA,JS-2016,NA,Intertidal,NA,23,LT0,2,25,LT100,2,NA,NA,NA,54.18145,7.892549,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Scytosiphonaceae,,,,57.1,10,
plants,algae,Desmarestia ligulata,,Desmarestia ligulata,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Atlantic (Iceland to Morocco); NW Pacific (Japan); NE Pacific (Alaska to California); SE-Pacific (Chile); Pacific Is (Hawaii); Australia, New Zealand.",points sparse in some part of range,partial.range,"use E Pacific part of range, but exclude land point and offshore islands",NA,NA,1090188088;919098899;1269254324;1269390651,NA,,-45,NA,NA,JS-2016,NA,Intertidal,NA,25.3,LT0,1,NA,,NA,NA,20,NA,-36.633265,-72.957518,0,Peters_&_Breeman_1993,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,low intertidal and subtidal,,,65.4,11,
