dataset shorthand,type,Genus.ncbi,Species.ncbi,Species.name (queried GBIF),reason no map,IUCN?,to check,Range source,Range source website,Range description,Range errors,"Action (fine = no action needed; fine.unconfirmed = gbif records look good but no good info to check against; excl.points=exclude points according to code (lts, longs & gbifIDs); country.codes = use country codes as well as lats/longs/gbifIDs; remove.use.IUCN = remove from GBIF pipeline & use IUCN map; remove = unsolveable rnage errors, remove species entirely; partial.range = use only the part of the range where the thermal tolerance data come from (for sp with disjunct distributions in multiple coasts/continents) ",Action remove explanation,countries in range,country.codes,gbifIDs.to.excl,code to get gbifIDs to excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who did final code,potential good gbif range for IUCN comp,Realm,Body Mass,tmax,tmax_metric,Sex,tmax_pretreatment,Rate of change (ramping temp) C/MIN,latctmax,longctmax,elevationctmax,REF_ctmax,location_ctmax,ctmin,tmin_metric,sex,Rate of change (ramping temp) c/min,tmin_pretreatment,latctmin,longctmin,elevationctmin,REF_ctmin,location_ctmin,Thropic position,dataset,birth Wild or Captive,thermal tolerance notes,original order,Genus (sDIV dataset May),Species (sDIV dataset May),Kingdom,Phylum,Class,Order,Family,NCBI.UID,change,double?,taxonomic issues
plants,angiosperm,Abrotanella,patearoa,Abrotanella patearoa,no occurrences,,,,,,,remove,,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-7.5,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Abrotanella,patearoa,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,316958,used unranked level Pentapetalae,,
plants,angiosperm,Acacia,melanoxylon,Acacia melanoxylon,,,,Florabank,http://www.florabank.org.au/lucid/key/species%20navigator/media/html/Acacia_melanoxylon.htm,"Native to East coast australia including Tasmania. Introduced to Africa, Asia, Europe, Indian Ocean, the Pacific Ocean, South America and the United States.",Introduced outside of native range,excl.points,,,,,,130,155,,0,JS,,Terrestrial,,,,,,,,,,,,-7.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Acacia,melanoxylon,Plantae,Streptophyta,Pentapetalae,Fabales,Fabaceae,138028,,,
plants,angiosperm,Acca,sellowiana,Acca sellowiana,,,,"Wikipedia sources: native to the highlands of southern Brazil, eastern Paraguay, Uruguay, northern Argentina, and Colombia.",https://en.wikipedia.org/wiki/Acca_sellowiana#cite_note-GRIN-1,"native to the highlands of southern Brazil, eastern Paraguay, Uruguay, northern Argentina, and Colombia.",Introduced outside of native range,excl.points,,,,,,-70,-40,,-20,JS,,Terrestrial,,,,,,,,,,,,-12.5,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Acca,sellowiana,Plantae,Streptophyta,Pentapetalae,Myrtales,Myrtaceae,260130,,,
plants,angiosperm,Acer,saccharum,Acer saccharum,,Atlas of United States Trees,,"Atlas of United States Trees, Elbert L. Little, Jr. ",http://esp.cr.usgs.gov/data/little/acersacr.pdf,,Introduced outside of native range,remove.use.AUST,,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-39,LT50,,,,43.04,-73,340,Gurney et al 2011,1,,,W,LEAVES based on Relative electrolyte leakage (REL)   ,,Acer,saccharum,Plantae,Streptophyta,Pentapetalae,Sapindales,Aceraceae,4024,unranked level used,,
plants,angiosperm,Achillea,millefolium,Achillea millefolium,removed beforehand,,,"Wikipedia sources: Gualtiero Simonetti (1990). Stanley Schuler, ed. Simon & Schuster's Guide to Herbs and Spices. Simon & Schuster, Inc. ISBN 0-671-73489-X.",,"It is native to temperate regions of the Northern Hemisphere in Asia, Europe, and North America",too difficult to i.d. native range,remove,too difficult to i.d. native range,,,,,,,,,JS,,Terrestrial,,41.5,T50,,,0.5,40.3,-3.7,600,Godoy et al 2011,,,,,,,,,,,,,,W,foliage t50 = 50% of initial Fv/Fm values a critical not a lethal temp   ,,Achillea,millefolium,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,13329,unranked level used,,
plants,angiosperm,Aciphylla,hectori,Aciphylla hectori,,,,"Oliver, W. R. B. (1956). The genus Aciphylla. In Transactions of the Royal Society of New Zealand (Vol. 84, No. 1-2, p. 1). J. Hughes, Printer.",http://rsnz.natlib.govt.nz/volume/rsnz_84/rsnz_84_01_000090.pdf,southern New Zealand,,fine,,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-8.4,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Aciphylla,hectorii,Plantae,Streptophyta,Pentapetalae,Apiales,Apiaceae,52662,species name updatedused subclass,,
plants,angiosperm,Ackama,rosifolia,Ackama rosifolia,,,,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1472,Endemic to New Zealand. North Island only from near Kaitaia south to just north of Wellsford.,extra points outside of range,excl.points,,,,,,,,-36,,JS,,Terrestrial,,,,,,,,,,,,-5.8,LT50,,,FF,-45.9,170.5,70,Bannister & Lord 2010,1,,,W,Foliage New Zealand native range ,,Ackama,rosifolia,Plantae,Streptophyta,Pentapetalae,Oxalidales,Cunoniaceae,140416,used unranked level Pentapetalae,,
plants,angiosperm,Acmadenia,heterophylla,Acmadenia heterophylla,,,,Red List of South African Plants,http://redlist.sanbi.org/species.php?species=3363-17,endemic to Western Cape of South Africa,,fine,,,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-4.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Acmadenia,heterophylla,Plantae,Streptophyta,Pentapetalae,Sapindales,Rutaceae,NA,,,
plants,angiosperm,Acmena,smithii,Acmena smithii,,,,Australian native plants society,http://anpsa.org.au/a-smi.html,Widespread in east coast rainforests from north Queensland to Victoria. Also found on King Island.,extra points outside of range,excl.points,,,,,,140,160,-40,0,JS,,Terrestrial,,,,,,,,,,,,-4.4,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Acmena,smithii,Plantae,Streptophyta,Pentapetalae,Myrtales,Myrtaceae,39974,,,
plants,angiosperm,Acmispon,glaber,Acmispon glaber,,,,Calflora,http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Acmispon+glaber,"From Humbolt and Plumas counties to Lower California, plus Arizona and Mexico. ",missing Mexico and Arizona,remove,missing Mexico and Arizona,,,,,,,,,JS,,Terrestrial,,53.2,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Acmispon,glaber,Plantae,Streptophyta,Pentapetalae,Fabales,Fabaceae,1043063,unranked level used,,
